location_day_id,location,event_date,status,confirming_url,query_used,reason
LD-2026-03-08-عين الحلوة (Ain al-Hilweh camp),عين الحلوة (Ain al-Hilweh camp),2026-03-08,covered,https://www.bernama.com/en/news.php/?id=2532021,"(""Ain al-Hilweh"" OR ""Ein el-Hilweh"" OR ""Ain al-Helweh"") AND Lebanon","AUDIT CORRECTION: naharnet.com is a Lebanese domestic outlet, excluded from international confirmations. Own base query still has a valid non-Lebanese candidate (aa.com.tr, result 7 of 8: ""Israeli warplanes strike Palestinian refugee camp in southern Lebanon,"" dated Mar 8, though it does not name Ain al-Hilweh explicitly). Stronger confirmation is the same BERNAMA/Anadolu article used for Tyre above (both towns were struck the same day and covered in one roundup): ""a third strike targeted the Ain al-Hilweh Palestinian refugee camp in the southern city of Sidon, killing one Palestinian and injuring 10 others, including three Lebanese nationals"" -- exact match to the incident record (1 death, 10 injured: 3 Lebanese + 7 Palestinian)."
LD-2026-03-25-Zawtar al-Sharqiya/al-Gharbiya area,Zawtar al-Sharqiya/al-Gharbiya area,2026-03-25,covered,https://www.aa.com.tr/en/middle-east/12-killed-dozens-injured-in-israeli-strikes-in-southern-lebanon/3878870,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar al-Gharbiya"" OR ""Zoutar el-Gharbiyeh"" OR ""Zawtar East"" OR ""Zawtar West"") AND Lebanon","[title casualty match: ""2 killed""] Confirmed via full-text fetch, base/generic query. title casualty match: ""2 killed"""
LD-2026-03-11-تبنين (Tibnine),تبنين (Tibnine),2026-03-11,covered,https://www.bernama.com/en/news.php/?id=2533218,"(""Tibnine"" OR ""Tebnine"" OR ""Tibnin"") AND Lebanon","[alias match: ""tebnine""] Confirmed via full-text fetch, base/generic query. alias match: ""tebnine"""
LD-2026-03-05-مشغرة (Mashghara),مشغرة (Mashghara),2026-03-05,covered,https://www.independent.co.uk/news/world/middle-east/us-iran-strikes-tehran-war-bombs-residents-b2933255.html,"(""Mashghara"" OR ""Machghara"") AND Lebanon","[alias match: ""mashghara""] Confirmed via full-text fetch, base/generic query. alias match: ""mashghara"""
LD-2026-03-28-جويا (Joya),جويا (Joya),2026-03-28,covered,https://www.aa.com.tr/en/middle-east/11-killed-several-injured-in-israeli-airstrikes-on-southern-lebanon/3883674,"(""Joya"" OR ""Jouaiya"" OR ""Jwaya"") AND Lebanon","[title casualty match: ""1 killed""] Confirmed via full-text fetch, base/generic query. title casualty match: ""1 killed"""
LD-2026-03-16-كفرصير (Kfarsir),كفرصير (Kfarsir),2026-03-16,covered,https://vov.vn/the-gioi/israel-dua-luc-quan-vao-lebanon-pha-huy-70-be-phong-ten-lua-iran-post1276167.vov,"(""Kfarsir"" OR ""Kfar Sir"") AND Lebanon","[alias match: ""kfar sir""] Confirmed via full-text fetch, base/generic query. alias match: ""kfar sir"""
LD-2026-03-12-أركي (Arki),أركي (Arki),2026-03-12,covered,https://www.aljazeera.com/news/2026/3/13/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation,"(""Arki"" OR ""Erke"" OR ""Arkeh"") AND Lebanon","Result 1 of 48 (base query). Article explicitly states ""Nine people, including five children, were killed in Arki near Sidon"" -- matches incident record (9 deaths, 7 injuries)."
LD-2026-03-11-بنت جبيل (Bint Jbeil city),بنت جبيل (Bint Jbeil city),2026-03-11,covered,https://www.aa.com.tr/en/middle-east/29-killed-in-israeli-airstrikes-on-lebanon-since-early-saturday/3864742,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon","[alias match: ""bint jbeil""] Confirmed via full-text fetch, base/generic query. alias match: ""bint jbeil"""
LD-2026-03-06-تول (Toul),تول (Toul),2026-03-06,covered,https://www.aa.com.tr/en/middle-east/israel-kills-19-more-in-airstrikes-across-lebanon/3852996,"(""Toul"" OR ""Tul"") AND Lebanon","[alias match: ""toul""] Confirmed via full-text fetch, base/generic query. alias match: ""toul"""
LD-2026-03-13-الغازية (Ghazieh),الغازية (Ghazieh),2026-03-13,covered,https://www.smh.com.au/world/middle-east/a-blast-across-the-valley-black-smoke-over-the-hills-and-the-wounded-arrive-20260312-p5o9ui.html?ref=rss&utm_medium=rss&utm_source=rss_feed,"(""Ghazieh"" OR ""Ghaziyeh"" OR ""Al-Ghazieh"") AND Lebanon","[alias match: ""ghaziyeh""] Confirmed via full-text fetch, base/generic query. alias match: ""ghaziyeh"""
