date,nna_incident_deaths,nna_incident_count,nna_incidents_with_unquantified_deaths,moph_cumulative_total_asof,moph_implied_daily_change,difference_(nna_minus_moph_daily)
2026-03-02,0,0,0,31,,
2026-03-03,4,2,0,50,19,-15
2026-03-04,15,3,0,72,22,-7
2026-03-05,27,10,0,123,51,-24
2026-03-06,43,14,1,217,94,-51
2026-03-07,89,17,2,294,77,12
2026-03-08,52,14,1,,,
2026-03-09,45,14,1,486,192,-147
2026-03-10,21,9,0,,,
2026-03-11,68,17,0,634,148,-80
2026-03-12,29,9,0,,,
2026-03-13,32,13,0,,,
2026-03-14,31,7,0,,,
2026-03-15,7,4,0,,,
2026-03-16,9,4,0,,,
2026-03-17,21,10,0,,,
2026-03-18,40,13,0,,,
2026-03-19,3,2,0,,,
2026-03-20,3,2,0,,,
2026-03-21,1,1,0,1024,390,-389
2026-03-22,5,3,0,1029,5,0
2026-03-23,5,5,0,1039,10,-5
2026-03-24,29,16,0,1072,33,-4
2026-03-25,10,5,0,1094,22,-12
2026-03-26,5,2,0,1116,22,-17
2026-03-27,14,6,0,1142,26,-12
2026-03-28,27,11,1,1189,47,-20
2026-03-29,12,5,0,1238,49,-37
2026-03-30,11,6,1,1247,9,2
2026-03-31,20,10,0,,,
2026-04-01,0,0,0,1318,71,-71
2026-04-02,0,0,0,1345,27,-27
