incident_id,article_id,article_url,lastmod,deaths_reported,injuries_reported,preliminary_or_final,notes
INC-0001,416998,https://www.nna-leb.gov.lb/ar/news/416998/%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%87%D9%8A%D8%A6%D8%A9-%D8%A7%D9%84%D8%B5%D8%AD%D9%8A%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B5%D8%AF%D9%8A%D9%82%D9%8A%D9%86-2,2026-03-03T11:45:06.000+02:00,2,0,preliminary,district uncertain - verify Siddiqine's caza
INC-0002,417044,https://www.nna-leb.gov.lb/ar/news/417044/%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%A7%D8%B5%D8%A7%D8%A8%D8%A9-%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%AC%D8%A9-%D8%A7%D9%84%D9%86%D8%A7%D8%B1%D9%8A%D8%A9-%D9%81%D9%8A-%D9%82%D8%A8%D8%B1%D9%8A%D8%AD%D8%A7-2,2026-03-03T14:01:02.000+02:00,2,2,preliminary,
INC-0003,417153,https://www.nna-leb.gov.lb/ar/news/417153/%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D9%85%D8%AC%D9%85%D8%B9-%D8%B3%D9%83%D9%86%D9%8A-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-%D9%81%D8%AC%D8%B1%D9%8B%D8%A7-2,2026-03-04T02:13:00.000+02:00,4,6,preliminary,first report in chain w/ 417170 417196 - toll rises to 5 then 6
INC-0003,417170,https://www.nna-leb.gov.lb/ar/news/417170/%D8%A7%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%B6%D8%AD%D8%A7%D9%8A%D8%A7-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%B3%D9%83%D9%86%D9%8A-%D9%81%D9%8A-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-%D8%A5%D9%84%D9%89-5-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8815-%D8%AC%D8%B1%D9%8A%D8%AD%D9%8B%D8%A7-%D9%883-%D9%85%D9%81%D9%82%D9%88%D8%AF%D9%8A%D9%86-2,2026-03-04T04:28:00.000+02:00,5,15,preliminary,update to 417153 chain; 3 missing
INC-0003,417196,https://www.nna-leb.gov.lb/ar/news/417196/%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-6-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8815-%D8%AC%D8%B1%D9%8A%D8%AD%D9%8B%D8%A7-%D9%88%D9%85%D9%81%D9%82%D9%88%D8%AF%D9%8E%D9%8A%D9%86-2,2026-03-04T06:41:31.000+02:00,6,15,preliminary,update to 417153/417170 chain; missing count now unspecified
INC-0004,417491,https://www.nna-leb.gov.lb/ar/news/417491/%D9%85%D8%B1%D9%83%D8%B2-%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA-%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-3-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%886-%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%AA%D9%8A-%D8%A7%D9%84%D8%B9%D8%AF%D9%88-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%B9%D9%84%D9%89-%D8%B7%D8%B1%D9%8A%D9%82-%D8%A7%D9%84%D9%85%D8%B7%D8%A7%D8%B1-2,2026-03-04T21:19:58.000+02:00,3,6,preliminary,combined toll for 'two raids'; district/governorate uncertain - verify (Beirut southern suburbs area)
INC-0005,417154,https://www.nna-leb.gov.lb/ar/news/417154/%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%B4%D9%82%D8%A9-%D8%A8%D8%B9%D9%8A%D8%AF-%D9%85%D9%86%D8%AA%D8%B5%D9%81-%D8%A7%D9%84%D9%84%D9%8A%D9%84-%D9%81%D9%8A-%D8%B9%D8%B1%D9%85%D9%88%D9%86-%D9%88%D8%B3%D9%82%D9%88%D8%B7-%D8%A5%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA-2,2026-03-04T02:19:00.000+02:00,,,preliminary,combined toll for two towns confirmed later in 417202; district/governorate uncertain - verify
INC-0005,417202,https://www.nna-leb.gov.lb/ar/news/417202/%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-6-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%888-%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A3%D9%88%D9%84%D9%8A%D8%A9-%D9%84%D9%84%D8%A7%D8%B9%D8%AA%D8%AF%D8%A7%D8%A1%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%B9%D8%B1%D9%85%D9%88%D9%86-%D9%88%D8%A7%D9%84%D8%B3%D8%B9%D8%AF%D9%8A%D8%A7%D8%AA-2,2026-03-04T07:22:00.000+02:00,6,8,preliminary,MoPH combined toll confirming 417154 chain
INC-0006,417566,https://www.nna-leb.gov.lb/ar/news/417566/%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%AC%D8%B1%D9%8A%D8%AD%D8%A7%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A3%D9%88%D8%AA%D9%88%D8%B3%D8%AA%D8%B1%D8%A7%D8%AF-%D8%B2%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D9%83%D8%B1%D9%83-2,2026-03-05T08:36:03.000+02:00,2,2,preliminary,possible overlap with 417813 (ISF officer killed same area/date) - flag for merge review
INC-0007,417496,https://www.nna-leb.gov.lb/ar/news/417496/%D8%AB%D9%84%D8%A7%D8%AB%D8%A9-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%B7%D8%B1%D9%8A%D9%82-%D8%B5%D9%88%D8%B1---%D8%A7%D9%84%D9%86%D8%A7%D9%82%D9%88%D8%B1%D8%A9-%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8-%D9%85%D9%86-%D8%A7%D9%84%D9%82%D9%84%D9%8A%D9%84%D8%A9-2,2026-03-05T02:19:00.000+02:00,3,0,preliminary,
