incident_id,event_date,town,location_raw,district,governorate,deaths_final,injuries_final,attack_type,target_description,first_nna_report,final_nna_update,nna_url_count,all_nna_urls,all_article_ids,location_ambiguous,casualty_count_ambiguous,merge_notes
INC-0001,2026-03-03,صديقين (Saddiqine/Siddiqine),صديقين,,South Lebanon,2,0,airstrike,second strike on the town (double-strike pattern); 2 dead were Islamic Health Authority personnel,2026-03-03T11:45:06.000+02:00,2026-03-03T11:45:06.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/416998/%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%87%D9%8A%D8%A6%D8%A9-%D8%A7%D9%84%D8%B5%D8%AD%D9%8A%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B5%D8%AF%D9%8A%D9%82%D9%8A%D9%86-2,416998,0,0,district uncertain - verify Siddiqine's caza
INC-0002,2026-03-03,قبريحا (Qabrikha),قبريحا - مرجعيون,Marjayoun,Nabatieh,2,2,strike on vehicle,motorcycle,2026-03-03T14:01:02.000+02:00,2026-03-03T14:01:02.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417044/%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%A7%D8%B5%D8%A7%D8%A8%D8%A9-%D8%B4%D8%AE%D8%B5%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%AC%D8%A9-%D8%A7%D9%84%D9%86%D8%A7%D8%B1%D9%8A%D8%A9-%D9%81%D9%8A-%D9%82%D8%A8%D8%B1%D9%8A%D8%AD%D8%A7-2,417044,0,0,
INC-0003,2026-03-04,بعلبك (Baalbek city),بعلبك - حي المتربة,Baalbek,Baalbek-Hermel,6,15,airstrike,residential building,2026-03-04T02:13:00.000+02:00,2026-03-04T06:41:31.000+02:00,3,https://www.nna-leb.gov.lb/ar/news/417153/%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D9%85%D8%AC%D9%85%D8%B9-%D8%B3%D9%83%D9%86%D9%8A-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-%D9%81%D8%AC%D8%B1%D9%8B%D8%A7-2;https://www.nna-leb.gov.lb/ar/news/417170/%D8%A7%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%B6%D8%AD%D8%A7%D9%8A%D8%A7-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%B3%D9%83%D9%86%D9%8A-%D9%81%D9%8A-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-%D8%A5%D9%84%D9%89-5-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8815-%D8%AC%D8%B1%D9%8A%D8%AD%D9%8B%D8%A7-%D9%883-%D9%85%D9%81%D9%82%D9%88%D8%AF%D9%8A%D9%86-2;https://www.nna-leb.gov.lb/ar/news/417196/%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-6-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%8815-%D8%AC%D8%B1%D9%8A%D8%AD%D9%8B%D8%A7-%D9%88%D9%85%D9%81%D9%82%D9%88%D8%AF%D9%8E%D9%8A%D9%86-2,417153;417170;417196,0,0,first report in chain w/ 417170 417196 - toll rises to 5 then 6 | update to 417153 chain; 3 missing | update to 417153/417170 chain; missing count now unspecified
INC-0004,2026-03-04,طريق المطار (Airport Road),طريق المطار,Baabda,Mount Lebanon,3,6,airstrike,two raids on Airport Road area (target unspecified),2026-03-04T21:19:58.000+02:00,2026-03-04T21:19:58.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417491/%D9%85%D8%B1%D9%83%D8%B2-%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA-%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-3-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%886-%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%AA%D9%8A-%D8%A7%D9%84%D8%B9%D8%AF%D9%88-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%B9%D9%84%D9%89-%D8%B7%D8%B1%D9%8A%D9%82-%D8%A7%D9%84%D9%85%D8%B7%D8%A7%D8%B1-2,417491,1,0,combined toll for 'two raids'; district/governorate uncertain - verify (Beirut southern suburbs area)
INC-0005,2026-03-04,عرمون / السعديات,عرمون والسعديات,Aley,Mount Lebanon,6,8,strikes on apartment/residential complex,apartment and residential complex,2026-03-04T02:19:00.000+02:00,2026-03-04T07:22:00.000+02:00,2,https://www.nna-leb.gov.lb/ar/news/417154/%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%B4%D9%82%D8%A9-%D8%A8%D8%B9%D9%8A%D8%AF-%D9%85%D9%86%D8%AA%D8%B5%D9%81-%D8%A7%D9%84%D9%84%D9%8A%D9%84-%D9%81%D9%8A-%D8%B9%D8%B1%D9%85%D9%88%D9%86-%D9%88%D8%B3%D9%82%D9%88%D8%B7-%D8%A5%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA-2;https://www.nna-leb.gov.lb/ar/news/417202/%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-6-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%888-%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%A3%D9%88%D9%84%D9%8A%D8%A9-%D9%84%D9%84%D8%A7%D8%B9%D8%AA%D8%AF%D8%A7%D8%A1%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%B9%D8%B1%D9%85%D9%88%D9%86-%D9%88%D8%A7%D9%84%D8%B3%D8%B9%D8%AF%D9%8A%D8%A7%D8%AA-2,417154;417202,1,1,combined toll for two towns confirmed later in 417202; district/governorate uncertain - verify | MoPH combined toll confirming 417154 chain
INC-0006,2026-03-05,أوتوستراد زحلة الكرك (Zahle-Kark highway),أوتوستراد زحلة الكرك,Zahle,Bekaa,2,2,strike on vehicle,car on highway,2026-03-05T08:36:03.000+02:00,2026-03-05T08:36:03.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417566/%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7%D9%86-%D9%88%D8%AC%D8%B1%D9%8A%D8%AD%D8%A7%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A3%D9%88%D8%AA%D9%88%D8%B3%D8%AA%D8%B1%D8%A7%D8%AF-%D8%B2%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D9%83%D8%B1%D9%83-2,417566,0,0,possible overlap with 417813 (ISF officer killed same area/date) - flag for merge review
INC-0007,2026-03-05,القليلة (Qlaile),طريق صور-الناقورة قرب القليلة,Tyre,South Lebanon,3,0,drone strike,car/vehicle,2026-03-05T02:19:00.000+02:00,2026-03-05T02:19:00.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417496/%D8%AB%D9%84%D8%A7%D8%AB%D8%A9-%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%81%D9%8A-%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%B7%D8%B1%D9%8A%D9%82-%D8%B5%D9%88%D8%B1---%D8%A7%D9%84%D9%86%D8%A7%D9%82%D9%88%D8%B1%D8%A9-%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8-%D9%85%D9%86-%D8%A7%D9%84%D9%82%D9%84%D9%8A%D9%84%D8%A9-2,417496,0,0,
INC-0008,2026-03-05,الكفور (Kfour),الكفور,Nabatieh,Nabatieh,2,0,airstrike,residence (mukhtar's home),2026-03-05T06:41:29.000+02:00,2026-03-05T06:41:29.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417531/%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D9%85%D8%AE%D8%AA%D8%A7%D8%B1-%D8%A7%D9%84%D9%83%D9%81%D9%88%D8%B1-%D9%88%D8%B2%D9%88%D8%AC%D8%AA%D9%87-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D8%A9-%D9%81%D8%AC%D8%B1%D8%A7-2,417531,0,0,named: mukhtar Tawfiq Safa + wife
INC-0009,2026-03-05,زوطر / كفرتبنيت,بين بلدتي زوطر وكفرتبنيت (ضمن حملة غارات واسعة في قضاء النبطية),Nabatieh,Nabatieh,3,0,airstrike,"area between the two towns; other strikes in same sweep (Aaba, Kfarremen, Kfour, Toul) reported without deaths in this article",2026-03-05T05:27:49.000+02:00,2026-03-05T05:27:49.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417516/%D8%B9%D8%AF%D9%88%D8%A7%D9%86-%D8%AC%D9%88%D9%8A-%D9%88%D8%A7%D8%B3%D8%B9-%D8%B9%D9%84%D9%89-%D9%82%D8%B1%D9%89-%D9%81%D9%8A-%D9%82%D8%B6%D8%A7%D8%A1-%D8%A7%D9%84%D9%86%D8%A8%D8%B7%D9%8A%D8%A9-%D9%81%D8%AC%D8%B1%D8%A7-2,417516,1,0,possible overlap with 417534's Zawtar al-Sharqiya family (4 dead) - flag for merge review
INC-0010,2026-03-05,زوطر الشرقية (Zawtar al-Sharqiya),زوطر الشرقية - مدخل شمالي قرب كفرتبنيت,Nabatieh,Nabatieh,4,0,airstrike,residence,2026-03-05T06:54:00.000+02:00,2026-03-05T06:54:00.000+02:00,1,https://www.nna-leb.gov.lb/ar/news/417534/%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF-%D8%B9%D8%A7%D8%A6%D9%84%D8%A9-%D9%81%D9%8A-%D8%B2%D9%88%D8%B7%D8%B1-%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-2,417534,0,0,family of 4 named; flag for merge review vs 417516's ambiguous 3-dead figure for same general area
