location_day_id,event_date,location,district,governorate,deaths_total,injuries_total,incident_rows_combined,has_unquantified_report,component_incident_ids
LD-2026-03-03-صديقين (Saddiqine/Siddiqine),2026-03-03,صديقين (Saddiqine/Siddiqine),,South Lebanon,2,0,1,0,INC-0001
LD-2026-03-03-قبريحا (Qabrikha),2026-03-03,قبريحا (Qabrikha),Marjayoun,Nabatieh,2,2,1,0,INC-0002
LD-2026-03-04-بعلبك (Baalbek city),2026-03-04,بعلبك (Baalbek city),Baalbek,Baalbek-Hermel,6,15,1,0,INC-0003
LD-2026-03-04-طريق المطار (Airport Road),2026-03-04,طريق المطار (Airport Road),Baabda,Mount Lebanon,3,6,1,0,INC-0004
LD-2026-03-04-عرمون / السعديات,2026-03-04,عرمون / السعديات,Aley,Mount Lebanon,6,8,1,0,INC-0005
LD-2026-03-05-أوتوستراد زحلة الكرك (Zahle-Kark highway),2026-03-05,أوتوستراد زحلة الكرك (Zahle-Kark highway),Zahle,Bekaa,2,2,1,0,INC-0006
LD-2026-03-05-القليلة (Qlaile),2026-03-05,القليلة (Qlaile),Tyre,South Lebanon,3,0,1,0,INC-0007
LD-2026-03-05-الكفور (Kfour),2026-03-05,الكفور (Kfour),Nabatieh,Nabatieh,2,0,1,0,INC-0008
LD-2026-03-05-زوطر / كفرتبنيت,2026-03-05,زوطر / كفرتبنيت,Nabatieh,Nabatieh,3,0,1,0,INC-0009
LD-2026-03-05-زوطر الشرقية (Zawtar al-Sharqiya),2026-03-05,زوطر الشرقية (Zawtar al-Sharqiya),Nabatieh,Nabatieh,4,0,1,0,INC-0010
LD-2026-03-05-كفررمان (Kfarremen),2026-03-05,كفررمان (Kfarremen),Nabatieh,Nabatieh,2,0,1,0,INC-0011
LD-2026-03-05-لبايا (Libaya),2026-03-05,لبايا (Libaya),West Bekaa,Bekaa,2,3,1,0,INC-0012
LD-2026-03-05-مخيم البداوي (Beddawi camp),2026-03-05,مخيم البداوي (Beddawi camp),Tripoli,North Lebanon,2,1,1,0,INC-0013
LD-2026-03-05-مشغرة (Mashghara),2026-03-05,مشغرة (Mashghara),West Bekaa,Bekaa,4,1,1,0,INC-0014
LD-2026-03-05-معركة (Maaraka),2026-03-05,معركة (Maaraka),Tyre,South Lebanon,3,0,1,0,INC-0015
LD-2026-03-06-الحنية (Al-Haniyeh),2026-03-06,الحنية (Al-Haniyeh),Tyre,South Lebanon,"unknown (unspecified, >=1 per NNA)",0,1,1,INC-0016
LD-2026-03-06-الدوير (Al-Dawir),2026-03-06,الدوير (Al-Dawir),Nabatieh,Nabatieh,5,9,1,0,INC-0017
LD-2026-03-06-السعيدة (Saaideh),2026-03-06,السعيدة (Saaideh),Baalbek,Baalbek-Hermel,3,0,1,0,INC-0018
LD-2026-03-06-الشياح (Chiyah),2026-03-06,الشياح (Chiyah),Baabda,Mount Lebanon,1,3,1,0,INC-0019
LD-2026-03-06-المروانية (Marwaniyeh),2026-03-06,المروانية (Marwaniyeh),Zahrani,South Lebanon,1,0,1,0,INC-0020
LD-2026-03-06-النبي شيت (Nabi Chit/Nabi Sheet),2026-03-06,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,10,0,1,0,INC-0021
LD-2026-03-06-بئر حسن (Bir Hassan),2026-03-06,بئر حسن (Bir Hassan),Baabda,Mount Lebanon,1,0,1,0,INC-0022
LD-2026-03-06-تول (Toul),2026-03-06,تول (Toul),Nabatieh,Nabatieh,1,0,1,0,INC-0023
LD-2026-03-06-جبشيت (Jbeshit),2026-03-06,جبشيت (Jbeshit),Nabatieh,Nabatieh,2,0,1,0,INC-0024
LD-2026-03-06-صريفا (Srifa),2026-03-06,صريفا (Srifa),Tyre,South Lebanon,1,0,1,0,INC-0025
LD-2026-03-06-صيدا (Sidon),2026-03-06,صيدا (Sidon),Sidon,South Lebanon,5,7,1,0,INC-0026
LD-2026-03-06-قلاويه (Qalawiyeh),2026-03-06,قلاويه (Qalawiyeh),Bint Jbeil,Nabatieh,2,0,1,0,INC-0027
LD-2026-03-06-كفررمان (Kfarremen),2026-03-06,كفررمان (Kfarremen),Nabatieh,Nabatieh,2,0,1,0,INC-0028
LD-2026-03-06-مجدل سلم (Majdal Selem),2026-03-06,مجدل سلم (Majdal Selem),Tyre,South Lebanon,9,0,1,0,INC-0029
LD-2026-03-07-Sharqiya/Kawthariyet al-Sayad road,2026-03-07,Sharqiya/Kawthariyet al-Sayad road,Nabatieh,Nabatieh,1,0,1,0,INC-0030
LD-2026-03-07-الشرقية (Sharqiya),2026-03-07,الشرقية (Sharqiya),Nabatieh,Nabatieh,3,0,1,0,INC-0031
LD-2026-03-07-النبي شيت (Nabi Chit),2026-03-07,النبي شيت (Nabi Chit),Baalbek,Baalbek-Hermel,26,0,1,0,INC-0032
