title,media_name,media_url,url,publish_date,language,indexed_date,title_confirmed_relevant,is_lebanese_domain,is_wire_service
Photos from Iran and across the Middle East as the war enters Week 2,npr.org,npr.org,https://www.npr.org/2026/03/10/g-s1-113081/photos-iran-us-israel-war-middle-east-week-2,2026-03-10,en,2026-03-10 17:26:35.436984+00:00,0,0,0
U.S. secretary of war vows today will be 'most intense day of strikes' on Iran,cbc.ca,cbc.ca,https://www.cbc.ca/news/world/livestory/iran-israel-us-war-day-11-9.7119190?cmp=rss,2026-03-10,en,2026-03-10 14:25:43.745463+00:00,0,0,0
Hezbollah claims to have prevented IDF search for Ron Arad,jpost.com,jpost.com,https://www.jpost.com/israel-news/article-889305,2026-03-09,en,2026-03-09 23:24:31.401433+00:00,0,0,0
"Nearly 700,000 displaced in Lebanon as Middle East crisis escalates",un.org,un.org,https://news.un.org/en/story/2026/03/1167098,2026-03-09,en,2026-03-09 22:37:00.923888+00:00,0,0,0
Lebanon internally divided: To respond to Israeli expansionism or not?,dailysabah.com,dailysabah.com,https://www.dailysabah.com/opinion/op-ed/lebanon-internally-divided-to-respond-to-israeli-expansionism-or-not,2026-03-10,en,2026-03-09 22:27:42.674665+00:00,0,0,0
Lebanese parliament extends term by 2 years as Israel intensifies attacks on Lebanon,pbs.org,pbs.org,https://www.pbs.org/newshour/world/lebanese-parliament-extends-term-by-2-years-as-israel-intensifies-attacks-on-lebanon,2026-03-09,en,2026-03-09 18:36:27.241917+00:00,0,0,0
Hezbollah thwarts Israeli landing attempt in eastern Lebanon,plenglish.com,plenglish.com,https://www.plenglish.com/news/2026/03/09/hezbollah-thwarts-israeli-landing-attempt-in-eastern-lebanon/,2026-03-09,en,2026-03-09 18:20:18.102581+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",bahamasspectator.com,bahamasspectator.com,https://bahamasspectator.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 16:22:07.031799+00:00,0,0,0
Israel military says it is unaware of clash with Hezbollah on Syria border,straitstimes.com,straitstimes.com,https://www.straitstimes.com/world/middle-east/israel-military-says-unaware-of-clash-with-hezbollah-on-syria-border,2026-03-09,en,2026-03-09 15:28:24.221099+00:00,0,0,0
Hezbollah reports Israeli raid in east Lebanon as war enters second week,straitstimes.com,straitstimes.com,https://www.straitstimes.com/world/middle-east/hezbollah-reports-israeli-raid-in-east-lebanon-as-war-enters-second-week,2026-03-09,en,2026-03-09 15:26:42.949981+00:00,0,0,0
Israel military says it is unaware of clash with Hezbollah on Syria border,reuters.com,reuters.com,https://www.reuters.com/world/middle-east/israel-military-says-unaware-clash-with-hezbollah-syria-border-2026-03-09/,2026-03-09,en,2026-03-09 15:23:18.035581+00:00,0,0,1
EU calls urgent fuel supply meetings amid oil price surge; Nato shoots down Iranian missiles in Turkish airspace,independent.ie,independent.ie,https://www.independent.ie/world-news/north-america/eu-calls-urgent-fuel-supply-meetings-amid-oil-price-surge-nato-shoots-down-iranian-missiles-in-turkish-airspace/a1821780552.html,2026-03-09,en,2026-03-09 14:38:18.281165+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",guyanainquirer.com,guyanainquirer.com,https://guyanainquirer.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 14:24:24.870137+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",aljazeera.com,aljazeera.com,https://www.aljazeera.com/news/2026/3/9/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations?traffic_source=rss,2026-03-09,en,2026-03-09 13:58:31.396284+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",grenadachronicle.com,grenadachronicle.com,https://grenadachronicle.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:51:01.798814+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",barbadosgazette.com,barbadosgazette.com,https://barbadosgazette.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:49:34.567573+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",haitigazette.com,haitigazette.com,https://haitigazette.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:46:58.161527+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",stluciachronicle.com,stluciachronicle.com,https://stluciachronicle.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:43:48.681282+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",dominicanrepublicpost.com,dominicanrepublicpost.com,https://dominicanrepublicpost.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:40:39.591047+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",jamaicainquirer.com,jamaicainquirer.com,https://jamaicainquirer.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:40:19.886999+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",antiguatribune.com,antiguatribune.com,https://antiguatribune.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:39:38.975304+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",stkittsgazette.com,stkittsgazette.com,https://stkittsgazette.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:32:01.172095+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",stvincenttribune.com,stvincenttribune.com,https://stvincenttribune.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:27:20.202635+00:00,0,0,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",trinidadtribune.com,trinidadtribune.com,https://trinidadtribune.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 13:20:55.179406+00:00,0,0,0
Hezbollah Confronts Israeli Helicopters Which Infiltrated into Eastern Lebanon,almanar.com.lb,almanar.com.lb,https://english.almanar.com.lb/article/33067/,2026-03-09,en,2026-03-09 12:23:46.336005+00:00,0,1,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",puertoricotribune.com,puertoricotribune.com,https://puertoricotribune.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 12:18:02.115494+00:00,0,0,0
"Hezbollah fights Israeli soldiers as they try to enter Nabi Sheet, border towns",naharnet.com,naharnet.com,https://www.naharnet.com/stories/en/318819-hezbollah-fights-israeli-soldiers-as-they-try-to-enter-nabi-sheet-border-towns,2026-03-09,en,2026-03-09 11:49:49.387787+00:00,1,1,0
"‘Reprehensible’: New wave of Iranian missiles, drones target Gulf nations",dominicagazette.com,dominicagazette.com,https://dominicagazette.com/reprehensible-new-wave-of-iranian-missiles-drones-target-gulf-nations/,2026-03-09,en,2026-03-09 11:36:55.401311+00:00,0,0,0
Hezbollah reports Israeli raid in east Lebanon as war enters second week,reuters.com,reuters.com,https://www.reuters.com/world/middle-east/hezbollah-reports-israeli-raid-east-lebanon-war-enters-second-week-2026-03-09/,2026-03-09,en,2026-03-09 11:28:35.746844+00:00,0,0,1
EU calls urgent fuel supply meetings as governments scramble amid oil price surge; Secretive figure Khamenei’s son chosen as next Supreme Leader,independent.ie,independent.ie,https://www.independent.ie/world-news/north-america/eu-calls-urgent-fuel-supply-meetings-as-governments-scramble-amid-oil-price-surge-secretive-figure-khameneis-son-chosen-as-next-supreme-leader/a1821780552.html,2026-03-09,en,2026-03-09 11:17:59.741811+00:00,0,0,0
Reports: Israeli special forces land in eastern Lebanon again; Hezbollah claims exchange of fire,ynetnews.com,ynetnews.com,https://www.ynetnews.com/article/bkkltaikwe,2026-03-09,en,2026-03-09 10:24:07.065228+00:00,0,0,0
Iran Strikes Israel and Gulf Allies as Ali Khamenei’s Son Becomes Supreme Leader,pulse.ng,pulse.ng,https://www.pulse.ng/story/mojtaba-khamenei-leads-iran-attack-2026030906265537242,2026-03-09,en,2026-03-09 09:28:13.091624+00:00,0,0,0
A retired security officer vanishes without a trace. His family is convinced it was a covert Israeli abduction,yahoo.com,yahoo.com,https://uk.news.yahoo.com/retired-security-officer-vanishes-without-210938077.html,2026-03-08,en,2026-03-09 09:22:38.286983+00:00,0,0,0
Human Rights Watch accuses Israel of using white phosphorus in Lebanon: Why the weapon is controversial,indiatimes.com,indiatimes.com,https://timesofindia.indiatimes.com/defence/international/human-rights-watch-accuses-israel-of-using-white-phosphorus-in-lebanon-why-the-weapon-is-controversial/articleshow/129315994.cms,2026-03-09,en,2026-03-09 08:21:11.836057+00:00,0,0,0
Hezbollah says fighting Israeli forces who landed in east Lebanon,dawn.com,dawn.com,https://www.dawn.com/news/1980059/hezbollah-says-fighting-israeli-forces-who-landed-in-east-lebanon,2026-03-09,en,2026-03-09 07:31:47.209431+00:00,0,0,0
Iran announces Mojtaba Khamenei as its new supreme leader,timesofmalta.com,timesofmalta.com,https://timesofmalta.com/article/iran-announces-mojtaba-khamenei-new-supreme-leader.1125184,2026-03-09,en,2026-03-09 07:24:52.520984+00:00,0,0,0
Iran launches missiles as Khamenei's son takes charge,punchng.com,punchng.com,https://punchng.com/iran-launches-missiles-as-khameneis-son-takes-charge/?utm_source=rss.punchng.com&utm_medium=web,2026-03-09,en,2026-03-09 07:22:04.883937+00:00,0,0,0
Woman injured from flying debris in central Israel as Iran keeps up missile fire,timesofisrael.com,timesofisrael.com,https://www.timesofisrael.com/liveblog-march-9-2026/,2026-03-09,en,2026-03-09 06:22:14.977275+00:00,0,0,0
Lebanon attacks: Ahmad Sweidan fled southern Lebanon for safety. Then a drone hit the hotel next door,theage.com.au,theage.com.au,https://www.theage.com.au/world/middle-east/ahmad-fled-southern-lebanon-for-safety-then-a-drone-hit-the-hotel-next-door-20260309-p5o8me.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2026-03-09,en,2026-03-09 06:17:17.772437+00:00,0,0,0
Lebanon attacks: Ahmad Sweidan fled southern Lebanon for safety. Then a drone hit the hotel next door,smh.com.au,smh.com.au,https://www.smh.com.au/world/middle-east/ahmad-fled-southern-lebanon-for-safety-then-a-drone-hit-the-hotel-next-door-20260309-p5o8me.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2026-03-09,en,2026-03-09 05:26:46.487831+00:00,0,0,0
"Khamenei dead, son Mojtaba named Iranâs Supreme Leader: Where things stand on day 10 of war",indiatimes.com,indiatimes.com,https://timesofindia.indiatimes.com/world/middle-east/khamenei-dead-son-mojtaba-named-irans-supreme-leader-where-things-stand-on-day-10-of-war/articleshow/129303244.cms,2026-03-09,en,2026-03-09 05:24:54.958144+00:00,0,0,0
Ground clashes near Aitaroun as Israel strikes hotel in Raouche killing four,naharnet.com,naharnet.com,https://naharnet.com/stories/en/318808-ground-clashes-near-aitaroun-as-israel-strikes-hotel-in-raouche-killing-four,2026-03-08,en,2026-03-09 04:31:49.676089+00:00,0,1,0
Middle East war: Hezbollah says fighting Israeli forces who landed in east Lebanon,indiatimes.com,indiatimes.com,https://economictimes.indiatimes.com/news/defence/middle-east-war-hezbollah-says-fighting-israeli-forces-who-landed-in-east-lebanon/articleshow/129301755.cms,2026-03-09,en,2026-03-09 03:28:17.537358+00:00,0,0,0
Hezbollah says fighting Israeli forces who landed in east Lebanon,yahoo.com,yahoo.com,https://sg.news.yahoo.com/hezbollah-says-fighting-israeli-forces-023255514.html,2026-03-09,en,2026-03-09 03:22:54.699492+00:00,0,0,0
Report in Lebanon: Exchange of fire in Nabi Chit area between IDF soldiers and Hezbollah,israelnationalnews.com,israelnationalnews.com,https://www.israelnationalnews.com/flashes/678701,2026-03-09,en,2026-03-09 02:27:41.095068+00:00,1,0,0
Hezbollah clashes with Israeli forces in eastern Lebanon: Report,aa.com.tr,aa.com.tr,https://www.aa.com.tr/en/middle-east/hezbollah-clashes-with-israeli-forces-in-eastern-lebanon-report/3855678,2026-03-09,en,2026-03-09 02:20:35.231772+00:00,0,0,1
US-Israel-Iran War News Live Updates: Iran fires first wave of missiles at Israel under new Supreme Leader Mojtaba Khamenei,indiatimes.com,indiatimes.com,https://timesofindia.indiatimes.com/world/middle-east/us-israel-iran-war-news-live-udates-middle-east-crisis-conflict-drone-ballistic-missile-attacks-explosions-flights-status-dubai-uae-qatar-tehran-gulf-donald-trump-netanyahu-khamenei/liveblog/129286007.cms,2026-03-09,en,2026-03-09 01:43:47.311215+00:00,0,0,0
Retired security officer vanishes. His family thinks it was an Israeli abduction,independent.co.uk,independent.co.uk,https://www.independent.co.uk/news/world/middle-east/ahmed-shukr-kidnapped-missing-israel-beirut-b2934384.html,2026-03-08,en,2026-03-08 23:26:55.281923+00:00,0,0,0
"Firewalkers, festivals and fashion: photos of the weekend",theguardian.com,theguardian.com,https://www.theguardian.com/news/gallery/2026/mar/08/firewalkers-festivals-and-fashion-photos-of-the-weekend,2026-03-08,en,2026-03-08 20:23:31.396042+00:00,0,0,0
A retired Lebanese security officer vanishes and his family thinks it was a covert Israeli abduction,independent.co.uk,independent.co.uk,https://www.independent.co.uk/news/israeli-hezbollah-iran-middle-east-beirut-b2934317.html,2026-03-08,en,2026-03-08 20:19:49.177093+00:00,0,0,0
A retired Lebanese security officer vanishes and his family thinks it was a covert Israeli abduction,thestar.com,thestar.com,https://www.thestar.com/news/world/middle-east/a-retired-lebanese-security-officer-vanishes-and-his-family-thinks-it-was-a-covert-israeli/article_cdec7c6f-582b-5026-9bec-49a742a144aa.html,2026-03-08,en,2026-03-08 17:30:34.680870+00:00,0,0,0
Dozens killed as Israeli special forces raid Lebanese village in search of 40-year-old remains,kbc.co.ke,kbc.co.ke,https://www.kbc.co.ke/dozens-killed-as-israeli-special-forces-raid-lebanese-village-in-search-of-40-year-old-remains/,2026-03-08,en,2026-03-08 10:31:45.558923+00:00,0,0,0
"Tehran, Lebanon Hit By Israeli Bombs",rediff.com,rediff.com,https://www.rediff.com/news/report/tehran-lebanon-hit-by-israeli-bombs/20260308.htm,2026-03-08,en,2026-03-08 09:23:14.111740+00:00,0,0,0
Failed Israeli mission to recover pilotâs remains leaves 41 dead in Lebanon,indiatimes.com,indiatimes.com,https://timesofindia.indiatimes.com/defence/international/failed-israeli-mission-to-recover-pilots-remains-leaves-41-dead-in-lebanon/articleshow/129255789.cms,2026-03-08,en,2026-03-08 07:26:13.969064+00:00,0,0,0
"Israel pounds Beirut, warns Lebanon of ‘heavy price’",dawn.com,dawn.com,https://www.dawn.com/news/1979644/israel-pounds-beirut-warns-lebanon-of-heavy-price,2026-03-08,en,2026-03-08 06:27:18.587614+00:00,0,0,0
Live updates: U.S. and Israel vow more strikes as Trump attends dignified transfer of fallen troops,nbcnews.com,nbcnews.com,https://www.nbcnews.com/world/iran/live-blog/live-updates-iran-war-trump-dignified-transfer-us-soldiers-rcna262207,2026-03-07,en,2026-03-08 03:25:28.266145+00:00,0,0,0
Israel threatens Lebanon as strikes hit Hezbollah areas,jpost.com,jpost.com,https://www.jpost.com/middle-east/article-889178,2026-03-08,en,2026-03-08 03:24:11.135776+00:00,0,0,0
"Israeli Strikes Kill at Least 41 in Lebanon, Death Toll Rises to 294",antiwar.com,antiwar.com,https://news.antiwar.com/2026/03/07/israeli-strikes-kill-at-least-41-in-lebanon-death-toll-rises-to-294/?utm_source=rss&utm_medium=rss&utm_campaign=israeli-strikes-kill-at-least-41-in-lebanon-death-toll-rises-to-294,2026-03-07,en,2026-03-08 03:22:51.326093+00:00,0,0,0
Trump warns Iran will be ‘hit very hard’ amid apology for strikes on neighbours,irishnews.com,irishnews.com,https://www.irishnews.com/news/world/trump-warns-iran-will-be-hit-very-hard-amid-apology-for-strikes-on-neighbours-5UKVZPEY3RNDPOKLPXVC3ZKHRU/,2026-03-07,en,2026-03-08 03:21:39.084860+00:00,0,0,0
Israel warns Lebanon of 'disastrous repercussions' as week's death toll nears 300,japantoday.com,japantoday.com,https://japantoday.com/category/world/israel-warns-lebanon-of-%27disastrous-repercussions%27-as-week%27s-death-toll-nears-3001,2026-03-08,en,2026-03-08 03:17:11.930987+00:00,0,0,0
Trump says he'll hit Iran harder as Iranian president apologizes to neighbors,indiatimes.com,indiatimes.com,https://economictimes.indiatimes.com/news/defence/trump-says-hell-hit-iran-harder-as-iranian-president-apologizes-to-neighbors/articleshow/129244207.cms,2026-03-08,en,2026-03-08 02:22:29.274379+00:00,0,0,0
Israeli strikes on south Lebanon kill eight: ministry,dawn.com,dawn.com,https://www.dawn.com/news/1979651/israeli-strikes-on-south-lebanon-kill-eight-ministry,2026-03-08,en,2026-03-08 02:21:18.454402+00:00,0,0,0
Israeli operation in Lebanon kills 41 as search for Ron Arad fails,nzherald.co.nz,nzherald.co.nz,https://www.nzherald.co.nz/world/failed-israeli-commando-operation-to-find-airman-remains-kills-41-in-lebanon/DNSOF6ZSH5CJ3GS547LABQWVAY/,2026-03-07,en,2026-03-08 02:18:03.536953+00:00,0,0,0
"Heavy strikes hits Tehran, missiles fired at Israel as war enters second week",ammonnews.net,ammonnews.net,https://en.ammonnews.net/article/89619,2026-03-07,en,2026-03-08 02:17:59.184178+00:00,0,0,0
"Netanyahu vows to carry on war, ‘eradicate Iranian regime’",freemalaysiatoday.com,freemalaysiatoday.com,https://www.freemalaysiatoday.com/category/highlight/2026/03/08/netanyahu-vows-to-carry-on-war-eradicate-iranian-regime,2026-03-08,en,2026-03-08 00:28:45.335161+00:00,0,0,0
Dozens killed as Israeli special forces raid Lebanese village in search of 40-year-old remains,bbc.com,bbc.com,https://www.bbc.com/news/articles/cy8l2p2l3v0o,2026-03-07,en,2026-03-08 00:27:53.724777+00:00,0,0,0
Israel warns Lebanon of 'disastrous repercussions' as week's death toll nears 300,channelnewsasia.com,channelnewsasia.com,https://www.channelnewsasia.com/world/iran-war-israel-lebanon-hezbollah-beirut-strikes-air-raid-5979191,2026-03-08,en,2026-03-08 00:20:09.293266+00:00,0,0,0
