title,media_name,media_url,url,publish_date,language,indexed_date,title_confirmed_relevant,is_lebanese_domain,is_wire_service
NUJ condemns the killing of three journalists in Lebanon,einpresswire.com,einpresswire.com,https://www.einpresswire.com/article/902833089/nuj-condemns-the-killing-of-three-journalists-in-lebanon,2026-03-31,en,2026-03-31 08:46:14.818138+00:00,0,0,0
How Was a Middle East Sky News Reporter Supposed to Know What All Those Flags Meant?,hotair.com,hotair.com,https://hotair.com/tree-hugging-sister/2026/03/30/how-was-a-middle-east-sky-news-reporter-supposed-to-know-what-all-those-flags-meant-n3813400,2026-03-30,en,2026-03-31 06:27:40.754175+00:00,0,0,0
‘100 per cent terrorist’: Israel ambassador’s claim about slain reporters,yahoo.com,yahoo.com,https://au.news.yahoo.com/100-per-cent-terrorist-israel-025549529.html,2026-03-31,en,2026-03-31 03:34:50.221489+00:00,0,0,0
Fear and exhaustion in Lebanon as Israel broadens invasion,npr.org,npr.org,https://www.npr.org/2026/03/30/nx-s1-5765463/fear-and-exhaustion-in-lebanon-as-israel-broadens-invasion,2026-03-30,en,2026-03-31 03:19:11.435238+00:00,0,0,0
These Are the Journalists Israel Has Killed Since the Start of the Iran War,time.com,time.com,https://time.com/article/2026/03/30/these-are-the-journalists-israel-has-killed-since-the-start-of-the-iran-war/,2026-03-30,en,2026-03-31 02:24:28.258569+00:00,0,0,0
Deadly silence: Why 3 journalists killed in Lebanon are irrelevant to Western readers,dailymaverick.co.za,dailymaverick.co.za,https://www.dailymaverick.co.za/article/2026-03-30-war-of-silence-why-the-journalists-killed-in-lebanon-are-irrelevant-to-western-readers/,2026-03-30,en,2026-03-30 16:44:47.831861+00:00,0,0,0
"HURIWA condemns Israeli killing of 3 Lebanese journalists, calls it a war crime",realnewsmagazine.net,realnewsmagazine.net,https://realnewsmagazine.net/huriwa-condemns-israeli-killing-of-3-lebanese-journalists-calls-it-a-war-crime/,2026-03-30,en,2026-03-30 08:19:29.986237+00:00,0,0,0
Israel plans to expand southern Lebanon invasion after journalists killings,jang.com.pk,jang.com.pk,https://jang.com.pk/en/62612-israel-plans-to-expand-southern-lebanon-invasion-after-journalist-killings-news,2026-03-29,en,2026-03-30 06:27:51.504925+00:00,0,0,0
Israel Defense Forces admit to posting fake image of Lebanese journalist killed in strike,abc.net.au,abc.net.au,https://www.abc.net.au/news/2026-03-30/idf-misinformation-on-lebanese-journalist/106511282,2026-03-30,en,2026-03-30 05:17:10.527387+00:00,0,0,0
Israel Defense Forces admits to posting fake image of Lebanese journalist killed in strike,nzcity.co.nz,nzcity.co.nz,https://home.nzcity.co.nz/news/article.aspx?id=442912&ref=rss,2026-03-30,en,2026-03-30 04:20:24.202994+00:00,0,0,0
Israeli strike kills three journalists in south Lebanon,standardmedia.co.ke,standardmedia.co.ke,https://www.standardmedia.co.ke/world/article/2001544127/israeli-strike-kills-three-journalists-in-south-lebanon,2026-03-29,en,2026-03-29 23:25:05.054709+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,bahamasspectator.com,bahamasspectator.com,https://bahamasspectator.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 23:18:03.168166+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,aljazeera.com,aljazeera.com,https://www.aljazeera.com/news/2026/3/29/netanyahu-announces-expansion-of-security-buffer-zone-in-south-lebanon?traffic_source=rss,2026-03-29,en,2026-03-29 22:29:08.942632+00:00,0,0,0
Caf general secretary resigns amid Afcon final fallout,island.lk,island.lk,https://island.lk/caf-general-secretary-resigns-amid-afcon-final-fallout/,2026-03-29,en,2026-03-29 21:31:44.208897+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,stvincenttribune.com,stvincenttribune.com,https://stvincenttribune.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 21:30:29.764510+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,dominicagazette.com,dominicagazette.com,https://dominicagazette.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 21:30:03.995962+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,barbadosgazette.com,barbadosgazette.com,https://barbadosgazette.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 21:20:06.322599+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,haitigazette.com,haitigazette.com,https://haitigazette.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 21:18:02.604736+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,dominicanrepublicpost.com,dominicanrepublicpost.com,https://dominicanrepublicpost.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 20:32:45.956969+00:00,0,0,0
