title,media_name,media_url,url,publish_date,language,indexed_date,title_confirmed_relevant,is_lebanese_domain,is_wire_service
Ít nhất 7 người thiệt mạng trong các cuộc tấn công của Israel vào Beirut,vov.vn,vov.vn,https://vov.vn/the-gioi/it-nhat-7-nguoi-thiet-mang-trong-cac-cuoc-tan-cong-cua-israel-vao-beirut-post1280552.vov,2026-04-02,vi,2026-04-02 19:01:43.804407+00:00,0,0,0
Hezbollah Commander Among Five Killed in Israeli Strike on Beirut,antiwar.com,antiwar.com,https://news.antiwar.com/2026/04/01/hezbollah-commander-among-five-killed-in-israeli-strike-on-beirut/?utm_source=rss&utm_medium=rss&utm_campaign=hezbollah-commander-among-five-killed-in-israeli-strike-on-beirut,2026-04-01,en,2026-04-02 06:31:35.357532+00:00,0,0,0
Israel Targets Multiple Areas in Lebanon Air Raids,diplomat.so,diplomat.so,https://diplomat.so/articles/1060/Israel-Targets-Multiple-Areas-in-Lebanon-Air-Raids,2026-04-01,en,2026-04-02 00:40:05.456137+00:00,0,0,0
Israeli strike on Beirut kills senior Hezbollah commander,thehindu.com,thehindu.com,https://www.thehindu.com/news/international/israeli-strike-on-beirut-kills-senior-hezbollah-commander/article70812850.ece,2026-04-01,en,2026-04-01 19:17:15.512718+00:00,0,0,0
Disruptions to air travel due to Iran war predicted to begin in early May as Trump claims ‘Iran has asked for ceasefire’,independent.ie,independent.ie,https://www.independent.ie/world-news/middle-east/disruptions-to-air-travel-due-to-iran-war-predicted-to-begin-in-early-may-as-trump-claims-iran-has-asked-for-ceasefire/a2120053173.html,2026-04-01,en,2026-04-01 18:47:14.969989+00:00,0,0,0
Israeli Strike On Beirut Kills Top Hezbollah Commander,channelstv.com,channelstv.com,https://www.channelstv.com/2026/04/01/israeli-strike-on-beirut-kills-top-hezbollah-commander/,2026-04-01,en,2026-04-01 15:30:52.190800+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",dominicanrepublicpost.com,dominicanrepublicpost.com,https://dominicanrepublicpost.com/israel-kills-7-people-in-beirut-hezbollah-fights-invasion-in-south-lebanon/,2026-04-01,en,2026-04-01 15:21:02.120654+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",stvincenttribune.com,stvincenttribune.com,https://stvincenttribune.com/israel-kills-7-people-in-beirut-hezbollah-fights-invasion-in-south-lebanon/,2026-04-01,en,2026-04-01 14:24:43.642897+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",aljazeera.com,aljazeera.com,https://www.aljazeera.com/news/2026/4/1/israeli-strikes-on-beirut-kill-7-hezbollah-fights-back-in-southern-lebanon?traffic_source=rss,2026-04-01,en,2026-04-01 13:26:04.553198+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",bahamasspectator.com,bahamasspectator.com,https://bahamasspectator.com/israel-kills-7-people-in-beirut-hezbollah-fights-invasion-in-south-lebanon/,2026-04-01,en,2026-04-01 13:17:37.368740+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",puertoricotribune.com,puertoricotribune.com,https://puertoricotribune.com/israel-kills-7-people-in-beirut-hezbollah-fights-invasion-in-south-lebanon/,2026-04-01,en,2026-04-01 13:17:25.085530+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",grenadachronicle.com,grenadachronicle.com,https://grenadachronicle.com/israel-kills-7-people-in-beirut-hezbollah-fights-invasion-in-south-lebanon/,2026-04-01,en,2026-04-01 12:43:27.317519+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",dominicagazette.com,dominicagazette.com,https://dominicagazette.com/israel-kills-7-people-in-beirut-hezbollah-fights-invasion-in-south-lebanon/,2026-04-01,en,2026-04-01 12:36:48.379530+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",jamaicainquirer.com,jamaicainquirer.com,https://jamaicainquirer.com/israel-kills-7-people-in-beirut-hezbollah-fights-invasion-in-south-lebanon/,2026-04-01,en,2026-04-01 12:35:21.645531+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",stluciachronicle.com,stluciachronicle.com,https://stluciachronicle.com/israel-kills-7-people-in-beirut-hezbollah-fights-invasion-in-south-lebanon/,2026-04-01,en,2026-04-01 12:28:33.214224+00:00,0,0,0
"Israel kills 7 people in Beirut, Hezbollah fights invasion in south Lebanon",haitigazette.com,haitigazette.com,https://haitigazette.com/israel-kills-7-people-in-beirut-hezbollah-fights-invasion-in-south-lebanon/,2026-04-01,en,2026-04-01 12:28:10.931332+00:00,0,0,0
