location_day_id,stage,query,result_count_3d,result_count_7d,timestamp
LD-2026-03-03-قبريحا (Qabrikha),base,"(""Qabrikha"" OR ""Kabrikha"") AND Lebanon",5,,2026-08-21T19:28:13
LD-2026-03-04-عرمون / السعديات,base,"(""Aramoun"" OR ""Aarammoune"" OR ""Saadiyat"" OR ""Saadiyate"") AND Lebanon",10,,2026-08-21T19:28:13
LD-2026-03-05-القليلة (Qlaile),base,"(""Qlaile"" OR ""Klaile"" OR ""Qlayleh"") AND Lebanon",0,1,2026-08-21T19:29:15
LD-2026-03-04-بعلبك (Baalbek city),base,"(""Baalbek"" OR ""Baalbeck"") AND Lebanon AND (residential OR ""6 killed"" OR building OR airstrike)",10,,2026-08-21T19:29:14
LD-2026-03-05-الكفور (Kfour),base,"(""Kfour"" OR ""Kfor"" OR ""Al-Kfour"") AND Lebanon",6,,2026-08-21T19:30:15
LD-2026-03-05-زوطر / كفرتبنيت,base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar al-Gharbiya"" OR ""Kfartebnit"" OR ""Kfar Tebnit"") AND Lebanon AND (strike OR airstrike OR raid OR killed OR attack OR shelling)",5,,2026-08-21T19:30:16
LD-2026-03-05-زوطر الشرقية (Zawtar al-Sharqiya),base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",3,,2026-08-21T19:31:16
LD-2026-03-05-كفررمان (Kfarremen),base,"(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon",4,,2026-08-21T19:31:17
LD-2026-03-05-مشغرة (Mashghara),base,"(""Mashghara"" OR ""Machghara"") AND Lebanon",3,,2026-08-21T19:32:19
LD-2026-03-05-لبايا (Libaya),base,"(""Libaya"" OR ""Lebaya"") AND Lebanon",,,2026-08-21T19:32:36
LD-2026-03-05-معركة (Maaraka),base,"(""Maaraka"" OR ""Maarakeh"" OR ""Maarake"") AND Lebanon",1,,2026-08-21T19:32:19
LD-2026-03-05-معركة (Maaraka),fallback,"(""Maaraka"" OR ""Maarakeh"" OR ""Maarake"") AND Lebanon AND (""family"" OR ""displaced"" OR ""airstrike"" OR ""present"")",0,0,2026-08-21T19:33:20
LD-2026-03-06-الحنية (Al-Haniyeh),base,"(""Haniyeh"" OR ""Haniye"" OR ""El-Haniyeh"") AND Lebanon",4,,2026-08-21T19:33:21
LD-2026-03-06-السعيدة (Saaideh),base,"(""Saaideh"" OR ""Saaida"" OR ""Al-Saaideh"") AND Lebanon",0,0,2026-08-21T19:34:21
LD-2026-03-06-المروانية (Marwaniyeh),base,"(""Marwaniyeh"" OR ""Marouaniye"" OR ""Al-Marwaniyeh"") AND Lebanon",0,0,2026-08-21T19:34:24
LD-2026-03-06-الدوير (Al-Dawir),base,"(""Dawir"" OR ""Douair"" OR ""Ed-Doueir"" OR ""Al-Dawir"") AND Lebanon",,,2026-08-21T19:34:52
LD-2026-03-06-الشياح (Chiyah),base,"(""Chiyah"" OR ""Shiyah"" OR ""Al-Shiyah"" OR ""Mar Mikhael"" OR ""Mar Mikhail"") AND Lebanon",4,,2026-08-21T19:35:24
LD-2026-03-06-بئر حسن (Bir Hassan),base,"(""Bir Hassan"" OR ""Beer Hassan"") AND Lebanon",0,0,2026-08-21T19:35:26
LD-2026-03-06-جبشيت (Jbeshit),base,"(""Jbeshit"" OR ""Jbaachit"" OR ""Jbchit"") AND Lebanon",0,0,2026-08-21T19:36:27
LD-2026-03-06-صيدا (Sidon),base,"(""Sidon"" OR ""Saida"") AND Lebanon AND (""Al-Maqassed"" OR ""5 killed"")",0,0,2026-08-21T19:36:28
LD-2026-03-06-تول (Toul),base,"(""Toul"" OR ""Tul"") AND Lebanon",,,2026-08-21T19:37:09
LD-2026-03-07-Sharqiya/Kawthariyet al-Sayad road,base,"(""Sharqiya"" OR ""Charkiyeh"" OR ""Kawthariyet al-Sayad"" OR ""Kaouthariyet el-Siyad"") AND Lebanon",5,,2026-08-21T19:37:10
LD-2026-03-07-النبي شيت (Nabi Chit/Nabi Sheet),base,"(""Nabi Chit"" OR ""Nabi Sheet"" OR ""Nabi Shit"") AND Lebanon",10,,2026-08-21T19:37:13
LD-2026-03-07-جبال البطم (Jabal al-Botm),base,"(""Jabal al-Botm"" OR ""Jabal el-Botom"") AND Lebanon",0,0,2026-08-21T19:38:16
LD-2026-03-07-جبشيت (Jbeshit),base,"(""Jbeshit"" OR ""Jbaachit"" OR ""Jbchit"") AND Lebanon",0,0,2026-08-21T19:38:18
LD-2026-03-06-قلاويه (Qalawiyeh),base,"(""Qalawiyeh"" OR ""Qalaouiye"" OR ""Kalawiye"") AND Lebanon",,,2026-08-21T19:38:44
LD-2026-03-06-مجدل سلم (Majdal Selem),base,"(""Majdal Selem"" OR ""Majdal Silm"" OR ""Majdel Selm"") AND Lebanon",,,2026-08-21T19:38:45
LD-2026-03-07-خربة سلم (Khirbet Selm),base,"(""Khirbet Selm"" OR ""Khirbet Silm"" OR ""Kherbet Selm"") AND Lebanon",3,,2026-08-21T19:39:20
LD-2026-03-07-صريفا (Srifa),base,"(""Srifa"" OR ""Sreifa"" OR ""Sarifa"") AND Lebanon",10,,2026-08-21T19:39:23
LD-2026-03-07-كفرتبنيت (Kfartebnit),base,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon",0,1,2026-08-21T19:40:27
LD-2026-03-07-كفررمان (Kfarremen),base,"(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon",3,,2026-08-21T19:40:28
LD-2026-03-07-زوطر الشرقية (Zawtar al-Sharqiya),base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",,,2026-08-21T19:41:00
LD-2026-03-07-شمسطار (Shamsatar),base,"(""Shamsatar"" OR ""Chamsatar"" OR ""Shamstar"") AND Lebanon",,,2026-08-21T19:41:01
LD-2026-03-07-كوثرية الرز (Kawthariyet al-Rez),base,"(""Kawthariyet al-Rez"" OR ""Kaouthariyet el-Rez"" OR ""Kawtharieh"") AND Lebanon",0,0,2026-08-21T19:41:30
LD-2026-03-08-الروشة (Raouche),base,"(""Raouche"" OR ""Rawshe"" OR ""Rawcheh"" OR ""Al-Rawsheh"") AND Lebanon",10,,2026-08-21T19:41:32
LD-2026-03-08-الشعيتية (Al-Shaitiyeh),base,"(""Shaitiyeh"" OR ""Chaytiyeh"" OR ""Al-Shaitiyeh"") AND Lebanon",0,0,2026-08-21T19:42:35
LD-2026-03-08-الغازية (Ghazieh),base,"(""Ghazieh"" OR ""Ghaziyeh"" OR ""Al-Ghazieh"") AND Lebanon",0,2,2026-08-21T19:42:38
LD-2026-03-08-الدوير (Al-Dawir),base,"(""Dawir"" OR ""Douair"" OR ""Ed-Doueir"" OR ""Al-Dawir"") AND Lebanon",1,,2026-08-21T19:43:18
LD-2026-03-07-ميفدون (Meifadoun),base,"(""Meifadoun"" OR ""Meifdoun"" OR ""Meifadoune"") AND Lebanon",0,0,2026-08-21T19:44:01
LD-2026-03-08-تبنين (Tibnine),base,"(""Tibnine"" OR ""Tebnine"" OR ""Tibnin"") AND Lebanon",10,,2026-08-21T19:44:19
LD-2026-03-08-صير الغربية (Sir al-Gharbiyeh),base,"(""Sir al-Gharbiyeh"" OR ""Seer al-Gharbiye"" OR ""Sir el-Gharbiyeh"") AND Lebanon",8,,2026-08-21T19:44:22
LD-2026-03-08-بريتال (Britel),base,"(""Britel"" OR ""Britell"" OR ""Brital"") AND Lebanon",,,2026-08-21T19:44:54
LD-2026-03-08-علما الشعب (Alma al-Shaab),base,"(""Alma al-Shaab"" OR ""Alma ech-Chaab"" OR ""Alma al-Chaab"") AND Lebanon",10,,2026-08-21T19:45:25
LD-2026-03-08-قانا (Qana),base,"(""Qana"" OR ""Cana"" OR ""Kana"") AND Lebanon",10,,2026-08-21T19:45:28
LD-2026-03-08-يحمر الشقيف (Yohmor al-Shaqif),base,"(""Yohmor al-Shaqif"" OR ""Yuhmur al-Shaqif"" OR ""Yohmor"") AND Lebanon",10,,2026-08-21T19:46:30
