title,media_name,media_url,url,publish_date,language,indexed_date
A retired security officer vanishes without a trace. His family is convinced it was a covert Israeli abduction,yahoo.com,yahoo.com,https://uk.news.yahoo.com/retired-security-officer-vanishes-without-210938077.html,2026-03-08,en,2026-03-09 09:22:38.286983+00:00
Retired security officer vanishes. His family thinks it was an Israeli abduction,independent.co.uk,independent.co.uk,https://www.independent.co.uk/news/world/middle-east/ahmed-shukr-kidnapped-missing-israel-beirut-b2934384.html,2026-03-08,en,2026-03-08 23:26:55.281923+00:00
A retired Lebanese security officer vanishes and his family thinks it was a covert Israeli abduction,independent.co.uk,independent.co.uk,https://www.independent.co.uk/news/israeli-hezbollah-iran-middle-east-beirut-b2934317.html,2026-03-08,en,2026-03-08 20:19:49.177093+00:00
A retired Lebanese security officer vanishes and his family thinks it was a covert Israeli abduction,thestar.com,thestar.com,https://www.thestar.com/news/world/middle-east/a-retired-lebanese-security-officer-vanishes-and-his-family-thinks-it-was-a-covert-israeli/article_cdec7c6f-582b-5026-9bec-49a742a144aa.html,2026-03-08,en,2026-03-08 17:30:34.680870+00:00
Israeli strikes killed eight people in south Lebanon: state media,dawn.com,dawn.com,https://www.dawn.com/news/1978677/israeli-strikes-killed-eight-people-in-south-lebanon-state-media,2026-03-05,en,2026-03-05 14:21:06.350031+00:00
"Israeli forces kill at least 12 in Lebanon strikes, ground invasion",dailysabah.com,dailysabah.com,https://www.dailysabah.com/world/mid-east/israeli-forces-kill-at-least-12-in-lebanon-strikes-ground-invasion,2026-03-05,en,2026-03-05 13:33:14.283353+00:00
Lebanon: Israeli Enemy Escalates Attacks on Fourth Day of Aggression,almanar.com.lb,almanar.com.lb,https://english.almanar.com.lb/article/30942/,2026-03-05,en,2026-03-05 11:40:58.765200+00:00
"12 killed in Israeli strikes in northern, southern Lebanon",aa.com.tr,aa.com.tr,https://www.aa.com.tr/en/middle-east/12-killed-in-israeli-strikes-in-northern-southern-lebanon/3850820,2026-03-05,en,2026-03-05 10:35:22.176502+00:00
Israeli army launches fresh airstrikes on southern Lebanon amid escalation,aa.com.tr,aa.com.tr,https://www.aa.com.tr/en/middle-east/israeli-army-launches-fresh-airstrikes-on-southern-lebanon-amid-escalation/3851022,2026-03-05,en,2026-03-05 10:34:12.508764+00:00
"Israel strikes south and east Lebanon, south Beirut and Tripoli's Beddawi",naharnet.com,naharnet.com,https://naharnet.com/stories/en/318760-israel-strikes-south-and-east-lebanon-south-beirut-and-tripoli-s-beddawi,2026-03-05,en,2026-03-05 10:30:26.828112+00:00
"Lebanese Health Ministry: Israeli strike targeting vehicle on Zahle-Karak highway left two martyrs, two other injured",almanar.com.lb,almanar.com.lb,https://english.almanar.com.lb/article/30852/,2026-03-05,la,2026-03-05 09:37:49.470738+00:00
