title,media_name,media_url,url,publish_date,language,indexed_date
Israeli Aggression Enters Second Week with Heavy Strikes on Beirut and Southern Lebanon,almanar.com.lb,almanar.com.lb,https://english.almanar.com.lb/article/33037/,2026-03-09,en,2026-03-09 12:24:06.252956+00:00
"US-Iran War March 6 Updates: Iran Warns of Strikes On Iraqi Kurdistan, IDF Strikes Khamenei's Tehran Bunker (UPDATED)",benzinga.com,benzinga.com,https://www.benzinga.com/news/politics/26/03/51089484/us-iran-war-march-6-updates-iranian-military-academy-hit-saudi-arabia-intercepts-3-drones-etihad-airways-resumes-key-flights,2026-03-06,en,2026-03-07 06:28:00.015085+00:00
"‘No deal with Iran except unconditional surrender,’ Trump says",island.lk,island.lk,https://island.lk/no-deal-with-iran-except-unconditional-surrender-trump-says/,2026-03-06,en,2026-03-06 18:25:01.221621+00:00
"Tiny possum and glider thought extinct for 6,000 years found in remote West Papua",island.lk,island.lk,https://island.lk/tiny-possum-and-glider-thought-extinct-for-6000-years-found-in-remote-west-papua/,2026-03-06,en,2026-03-06 15:28:42.056507+00:00
Hezbollah targets Israeli forces in retaliation to broad-scale overnight strikes,naharnet.com,naharnet.com,https://naharnet.com/stories/en/318782-hezbollah-targets-israeli-forces-in-retaliation-to-broad-scale-overnight-strikes,2026-03-06,en,2026-03-06 13:41:33.790893+00:00
"More than 120 killed in Israel’s Lebanon attacks as Beirut, south, east hit",island.lk,island.lk,https://island.lk/more-than-120-killed-in-israels-lebanon-attacks-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 12:37:39.899876+00:00
Hungary confirms it is holding seven Ukrainian bank workers and $80m,island.lk,island.lk,https://island.lk/hungary-confirms-it-is-holding-seven-ukrainian-bank-workers-and-80m/,2026-03-06,en,2026-03-06 12:37:21.156400+00:00
US and Venezuela agree to resume diplomatic ties after Maduro capture,island.lk,island.lk,https://island.lk/us-and-venezuela-agree-to-resume-diplomatic-ties-after-maduro-capture/,2026-03-06,en,2026-03-06 12:36:51.019675+00:00
"More than 120 killed in Israel’s Lebanon attacks as Beirut, south, east hit",aljazeera.com,aljazeera.com,https://www.aljazeera.com/news/2026/3/6/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit?traffic_source=rss,2026-03-06,en,2026-03-06 11:30:47.479792+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",guyanainquirer.com,guyanainquirer.com,https://guyanainquirer.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 10:43:19.974405+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",bahamasspectator.com,bahamasspectator.com,https://bahamasspectator.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 10:30:27.137553+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",stluciachronicle.com,stluciachronicle.com,https://stluciachronicle.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 10:26:57.283959+00:00
1 killed in fresh Israeli strikes on Lebanon,aa.com.tr,aa.com.tr,https://www.aa.com.tr/en/middle-east/1-killed-in-fresh-israeli-strikes-on-lebanon/3852530,2026-03-06,en,2026-03-06 10:25:21.008960+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",puertoricotribune.com,puertoricotribune.com,https://puertoricotribune.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 10:21:55.108994+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",stvincenttribune.com,stvincenttribune.com,https://stvincenttribune.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 09:37:47.638725+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",stkittsgazette.com,stkittsgazette.com,https://stkittsgazette.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 09:32:17.464359+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",antiguatribune.com,antiguatribune.com,https://antiguatribune.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 09:23:58.429869+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",dominicanrepublicpost.com,dominicanrepublicpost.com,https://dominicanrepublicpost.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 09:18:23.360312+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",trinidadtribune.com,trinidadtribune.com,https://trinidadtribune.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 09:17:30.340575+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",grenadachronicle.com,grenadachronicle.com,https://grenadachronicle.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 08:35:51.069050+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",haitigazette.com,haitigazette.com,https://haitigazette.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 08:34:59.593402+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",jamaicainquirer.com,jamaicainquirer.com,https://jamaicainquirer.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 08:33:14.090654+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",dominicagazette.com,dominicagazette.com,https://dominicagazette.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 08:29:34.261609+00:00
"Death toll in Israel’s Lebanon attacks over 120 as Beirut, south, east hit",barbadosgazette.com,barbadosgazette.com,https://barbadosgazette.com/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit/,2026-03-06,en,2026-03-06 08:29:20.777352+00:00
"US-Iran War March 6 Updates: Iranian Military Academy Hit, Saudi Arabia Intercepts 3 Drones, Etihad Airways Resumes Key Flights",benzinga.com,benzinga.com,https://www.benzinga.com/news/politics/26/03/51089484/us-iran-war-march-6-updates-iranian-military-academy-hit-saudi-arabia-intercepts-3-drones-etihad-ai?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-03-06,en,2026-03-06 07:29:26.587529+00:00
Lebanese state media says Israel launched air strikes on Lebanon,dawn.com,dawn.com,https://www.dawn.com/news/1978994/lebanese-state-media-says-israel-launched-air-strikes-on-lebanon,2026-03-06,en,2026-03-06 05:34:49.258190+00:00
