title,media_name,media_url,url,publish_date,language,indexed_date
Live updates: No relief from high oil prices despite deal to release historic amount of petroleum reserves,nbcnews.com,nbcnews.com,https://www.nbcnews.com/world/iran/live-blog/live-updates-iran-war-israel-us-lebanon-tehran-oil-prices-hormuz-rcna262889,2026-03-11,en,2026-03-12 03:34:03.583096+00:00
Strait of Hormuz Under Fire - US Targets Iranian Mine-Layers Amid Oil Fears,novinite.com,novinite.com,https://www.novinite.com/view_news.php?id=237435,2026-03-11,en,2026-03-11 23:20:19.599597+00:00
International Energy Agency unlocks 400 million barrels of oil from their reserves - the biggest release ever - to ease impact of Iran war,dailymail.co.uk,dailymail.co.uk,https://www.dailymail.co.uk/news/article-15636277/International-Energy-Agency-unlocks-400-million-barrels-oil-reserves-biggest-release-ease-impact-Iran-war.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,2026-03-11,en,2026-03-11 20:31:07.197534+00:00
Get ready for oil to hit $200 a barrel': Iran warns of global economic disaster after three cargo ships are attacked in Strait of Hormuz,dailymail.co.uk,dailymail.co.uk,https://www.dailymail.co.uk/news/article-15635853/Get-ready-oil-hit-200-barrel-Iran-warns-global-economic-disaster-three-cargo-ships-attacked-Strait-Hormuz.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,2026-03-11,en,2026-03-11 20:28:36.582973+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",bahamasspectator.com,bahamasspectator.com,https://bahamasspectator.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 19:44:04.253412+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",dominicagazette.com,dominicagazette.com,https://dominicagazette.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 19:43:27.060172+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",haitigazette.com,haitigazette.com,https://haitigazette.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 19:27:36.324219+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",stvincenttribune.com,stvincenttribune.com,https://stvincenttribune.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 19:17:58.917379+00:00
Get ready for oil to hit $200 a barrel': Iran warns of global economic disaster after three cargo ships are attacked in Strait of Hormuz,dailymail.co.uk,dailymail.co.uk,https://www.dailymail.co.uk/news/article-15635853/Get-ready-oil-hit-200-barrel-Iran-warns-global-economic-disaster-three-cargo-ships-attacked-Strait-Hormuz.html,2026-03-11,en,2026-03-11 19:00:22.839835+00:00
International Energy Agency unlocks 400 million barrels of oil from their reserves - the biggest release ever - to ease impact of Iran war,dailymail.co.uk,dailymail.co.uk,https://www.dailymail.co.uk/news/article-15636277/International-Energy-Agency-unlocks-400-million-barrels-oil-reserves-biggest-release-ease-impact-Iran-war.html,2026-03-11,en,2026-03-11 18:54:56.406678+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",aljazeera.com,aljazeera.com,https://www.aljazeera.com/news/2026/3/11/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon?traffic_source=rss,2026-03-11,en,2026-03-11 18:43:37.060077+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",grenadachronicle.com,grenadachronicle.com,https://grenadachronicle.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 18:41:11.388234+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",barbadosgazette.com,barbadosgazette.com,https://barbadosgazette.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 18:39:50.742216+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",stkittsgazette.com,stkittsgazette.com,https://stkittsgazette.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 18:39:02.682124+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",puertoricotribune.com,puertoricotribune.com,https://puertoricotribune.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 18:28:54.345924+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",stluciachronicle.com,stluciachronicle.com,https://stluciachronicle.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 18:27:25.207974+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",jamaicainquirer.com,jamaicainquirer.com,https://jamaicainquirer.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 18:26:16.379647+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",trinidadtribune.com,trinidadtribune.com,https://trinidadtribune.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 18:25:10.188448+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",antiguatribune.com,antiguatribune.com,https://antiguatribune.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 18:21:18.703534+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",dominicanrepublicpost.com,dominicanrepublicpost.com,https://dominicanrepublicpost.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 18:20:59.507820+00:00
"UN warns of widening crisis as Israeli attacks displace 750,000 in Lebanon",guyanainquirer.com,guyanainquirer.com,https://guyanainquirer.com/un-warns-of-widening-crisis-as-israeli-attacks-displace-750000-in-lebanon/,2026-03-11,en,2026-03-11 17:42:20.378624+00:00
"IDF targets Hezbollah command centers, weapons sites in strikes on Beirut suburbs",timesofisrael.com,timesofisrael.com,https://www.timesofisrael.com/idf-targets-hezbollah-command-centers-weapons-sites-in-strikes-on-beirut-suburbs/,2026-03-11,en,2026-03-11 14:39:07.558453+00:00
Fresh Israeli strikes hit Lebanon after evacuation warnings,dunyanews.tv,dunyanews.tv,https://dunyanews.tv/en/World/939880-fresh-israeli-strikes-hit-lebanon-after-evacuation-warnings,2026-03-11,en,2026-03-11 14:37:41.735424+00:00
IDF strikes Hezbollah targets in Beirut and Tyre,jpost.com,jpost.com,https://www.jpost.com/israel-news/defense-news/article-889556,2026-03-11,en,2026-03-11 14:36:53.722575+00:00
Live Updates: US-Israeli war against Iran's regime rages on,jpost.com,jpost.com,https://www.jpost.com/middle-east/iran-news/2026-03-11/live-updates-889545,2026-03-11,en,2026-03-11 14:35:18.764868+00:00
Saudi oil giant warns of 'catastrophic consequences' from Iran war as three commercial ships are 'attacked' in Strait of Hormuz and Tehran tries to strangle world's energy supplies,dailymail.co.uk,dailymail.co.uk,https://www.dailymail.co.uk/news/article-15634775/Cargo-ship-attacked-Strait-Hormuz-Projectile-hits-vessel-forcing-crew-evacuate-US-destroyed-16-Iranian-minelaying-warships-prevent-waterway-closing.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,2026-03-11,en,2026-03-11 12:36:42.247566+00:00
Iran keeps up pressure on oil infrastructure as concerns of global energy crisis grow,manilatimes.net,manilatimes.net,https://www.manilatimes.net/2026/03/11/world/americas-emea/iran-keeps-up-pressure-on-oil-infrastructure-as-concerns-of-global-energy-crisis-grow/2297654,2026-03-11,en,2026-03-11 12:36:38.653212+00:00
"Israeli Strikes Across Lebanon Since Dawn Wednesday Kill 20, Wound 26",bernama.com,bernama.com,https://www.bernama.com/en/news.php/?id=2533218,2026-03-11,en,2026-03-11 11:46:33.869880+00:00
U.S. attacks Iranian mine-laying vessels near Hormuz on Day 12 of war,npr.org,npr.org,https://www.npr.org/2026/03/11/nx-s1-5744029/us-iran-war,2026-03-11,en,2026-03-11 11:36:01.026963+00:00
Israeli strike hits building in central Beirut,punchng.com,punchng.com,https://punchng.com/israeli-strike-hits-building-in-central-beirut/?utm_source=rss.punchng.com&utm_medium=web,2026-03-11,en,2026-03-11 11:32:07.365744+00:00
"At least 26 killed in Israeli strikes on south Lebanon, Bekaa's Tamnin",naharnet.com,naharnet.com,https://www.naharnet.com/stories/en/318869-at-least-26-killed-in-israeli-strikes-on-south-lebanon-bekaa-s-tamnin,2026-03-11,en,2026-03-11 11:28:27.440565+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",aljazeera.com,aljazeera.com,https://www.aljazeera.com/news/2026/3/11/israel-continues-to-pound-lebanon-hits-dense-area-of-central-beirut?traffic_source=rss,2026-03-11,en,2026-03-11 11:24:36.773938+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",jamaicainquirer.com,jamaicainquirer.com,https://jamaicainquirer.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 10:43:04.303369+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",guyanainquirer.com,guyanainquirer.com,https://guyanainquirer.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 10:34:17.183980+00:00
"Israeli strikes across Lebanon since dawn Wednesday kill 34, wound dozens",aa.com.tr,aa.com.tr,https://www.aa.com.tr/en/middle-east/-israeli-strikes-across-lebanon-since-dawn-wednesday-kill-34-wound-dozens/3859136,2026-03-11,en,2026-03-11 10:33:26.211754+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",bahamasspectator.com,bahamasspectator.com,https://bahamasspectator.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 10:33:06.933980+00:00
Iran war 'should not stop until regime collapses' warns terrorism expert,mirror.co.uk,mirror.co.uk,https://www.mirror.co.uk/news/world-news/iran-still-poses-significant-threat-36845156,2026-03-11,en,2026-03-11 10:17:06.658563+00:00
US banks will be 'next target' of Iran attacks as 'Americans should expect pain',dailystar.co.uk,dailystar.co.uk,https://www.dailystar.co.uk/news/world-news/banks-next-target-iran-attacks-36847907,2026-03-11,en,2026-03-11 09:32:43.069778+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",dominicanrepublicpost.com,dominicanrepublicpost.com,https://dominicanrepublicpost.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 09:30:55.533878+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",stkittsgazette.com,stkittsgazette.com,https://stkittsgazette.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 09:27:21.231146+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",barbadosgazette.com,barbadosgazette.com,https://barbadosgazette.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 09:18:33.366904+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",stvincenttribune.com,stvincenttribune.com,https://stvincenttribune.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 09:18:20.723571+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",stluciachronicle.com,stluciachronicle.com,https://stluciachronicle.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 09:17:51.614166+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",antiguatribune.com,antiguatribune.com,https://antiguatribune.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 08:38:30.601428+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",trinidadtribune.com,trinidadtribune.com,https://trinidadtribune.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 08:34:29.474661+00:00
Iran keeps up pressure on oil infrastructure as global energy crisis fears grow,irishnews.com,irishnews.com,https://www.irishnews.com/news/world/iran-keeps-up-pressure-on-oil-infrastructure-as-global-energy-crisis-fears-grow-AQCMDTOTJZJ5JMN4VCQCVKVXDA/,2026-03-11,en,2026-03-11 08:33:03.759467+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",haitigazette.com,haitigazette.com,https://haitigazette.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 08:32:24.806008+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",dominicagazette.com,dominicagazette.com,https://dominicagazette.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 08:29:47.304231+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",puertoricotribune.com,puertoricotribune.com,https://puertoricotribune.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 08:28:47.921119+00:00
Israeli strike hits central Beirut,freemalaysiatoday.com,freemalaysiatoday.com,https://www.freemalaysiatoday.com/category/world/2026/03/11/israeli-strike-hits-central-beirut,2026-03-11,en,2026-03-11 08:26:59.834523+00:00
"Israel pounds Lebanon, targets residential building in central Beirut",grenadachronicle.com,grenadachronicle.com,https://grenadachronicle.com/israel-pounds-lebanon-targets-residential-building-in-central-beirut/,2026-03-11,en,2026-03-11 08:26:22.993962+00:00
"Israeli strikes across Lebanon since dawn Wednesday kill 20, wound 26",aa.com.tr,aa.com.tr,https://www.aa.com.tr/en/middle-east/-israeli-strikes-across-lebanon-since-dawn-wednesday-kill-20-wound-26/3859136,2026-03-11,en,2026-03-11 08:24:58.621674+00:00
