title,media_name,media_url,url,publish_date,language,indexed_date
Entire families wiped out and towns emptied as Israel’s war on Lebanon intensifies,theguardian.com,theguardian.com,https://www.theguardian.com/world/2026/mar/14/lebanon-israel-hezbollah-war-deaths,2026-03-14,en,2026-03-14 14:20:16.019534+00:00
Strike on Beirut kills 12 after Israel’s ‘land grab’ threat,dawn.com,dawn.com,https://www.dawn.com/news/1981537/strike-on-beirut-kills-12-after-israels-land-grab-threat,2026-03-13,en,2026-03-13 03:23:27.479424+00:00
"""Will Do Job On Ground"": Netanyahu Warns Lebanon To Act Against Hezbollah",ndtv.com,ndtv.com,https://www.ndtv.com/world-news/iran-war-benjamin-netanyahu-warns-lebanon-to-disarm-hezbollah-11208046,2026-03-13,en,2026-03-12 23:41:13.498301+00:00
Israeli strikes on Lebanon: Latest developments,naharnet.com,naharnet.com,https://www.naharnet.com/stories/en/318919-israeli-strikes-on-lebanon-latest-developments,2026-03-12,en,2026-03-12 23:17:32.439214+00:00
Israel renews Beirut strikes after threatening to expand Lebanon operations,channelnewsasia.com,channelnewsasia.com,https://www.channelnewsasia.com/world/israel-lebanon-hezbollah-beirut-iran-us-war-strikes-5990106,2026-03-13,en,2026-03-12 21:37:57.875287+00:00
Israel attacks central Beirut in escalation of deadly assault on Lebanon,stkittsgazette.com,stkittsgazette.com,https://stkittsgazette.com/israel-attacks-central-beirut-in-escalation-of-deadly-assault-on-lebanon/,2026-03-12,en,2026-03-12 21:32:20.258437+00:00
‘The children are afraid’: Beirut’s southern suburbs reel under relentless air strikes,irishtimes.com,irishtimes.com,https://www.irishtimes.com/world/middle-east/2026/03/12/the-children-are-afraid-beiruts-southern-suburbs-reel-under-relentless-air-strikes/,2026-03-12,en,2026-03-12 21:31:53.904046+00:00
Israel pounds Beirut suburbs after Hezbollah launches rocket barrage,bbc.com,bbc.com,https://www.bbc.com/news/articles/cx2gjq8qd09o?at_medium=RSS&at_campaign=rss,2026-03-12,en,2026-03-12 21:31:39.388583+00:00
Israel attacks central Beirut in escalation of deadly assault on Lebanon,aljazeera.com,aljazeera.com,https://www.aljazeera.com/news/2026/3/12/israel-attacks-central-beirut-in-escalation-of-deadly-assault-on-lebanon?traffic_source=rss,2026-03-12,en,2026-03-12 20:45:37.901828+00:00
Israel attacks central Beirut in escalation of deadly assault on Lebanon,bahamasspectator.com,bahamasspectator.com,https://bahamasspectator.com/israel-attacks-central-beirut-in-escalation-of-deadly-assault-on-lebanon/,2026-03-12,en,2026-03-12 20:22:07.321084+00:00
Israel attacks central Beirut in escalation of deadly assault on Lebanon,haitigazette.com,haitigazette.com,https://haitigazette.com/israel-attacks-central-beirut-in-escalation-of-deadly-assault-on-lebanon/,2026-03-12,en,2026-03-12 20:18:36.033082+00:00
Israel attacks central Beirut in escalation of deadly assault on Lebanon,guyanainquirer.com,guyanainquirer.com,https://guyanainquirer.com/israel-attacks-central-beirut-in-escalation-of-deadly-assault-on-lebanon/,2026-03-12,en,2026-03-12 20:18:01.838330+00:00
