title,media_name,media_url,url,publish_date,language,indexed_date
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,aljazeera.com,aljazeera.com,https://www.aljazeera.com/news/2026/3/13/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation?traffic_source=rss,2026-03-13,en,2026-03-13 21:32:27.096943+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,grenadachronicle.com,grenadachronicle.com,https://grenadachronicle.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 20:44:52.433076+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,stkittsgazette.com,stkittsgazette.com,https://stkittsgazette.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 20:44:25.932524+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,barbadosgazette.com,barbadosgazette.com,https://barbadosgazette.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 20:36:42.128620+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,trinidadtribune.com,trinidadtribune.com,https://trinidadtribune.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 20:30:44.559576+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,dominicagazette.com,dominicagazette.com,https://dominicagazette.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 20:19:38.763694+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,haitigazette.com,haitigazette.com,https://haitigazette.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 20:19:04.210475+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,guyanainquirer.com,guyanainquirer.com,https://guyanainquirer.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 19:42:25.584122+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,puertoricotribune.com,puertoricotribune.com,https://puertoricotribune.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 19:37:23.007278+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,dominicanrepublicpost.com,dominicanrepublicpost.com,https://dominicanrepublicpost.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 19:37:22.023863+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,jamaicainquirer.com,jamaicainquirer.com,https://jamaicainquirer.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 19:34:03.838201+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,stluciachronicle.com,stluciachronicle.com,https://stluciachronicle.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 19:32:27.071588+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,antiguatribune.com,antiguatribune.com,https://antiguatribune.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 19:28:50.416433+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,stvincenttribune.com,stvincenttribune.com,https://stvincenttribune.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 19:26:46.180015+00:00
Israel destroys bridge in Lebanon and threatens Gaza-scale devastation,bahamasspectator.com,bahamasspectator.com,https://bahamasspectator.com/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation/,2026-03-13,en,2026-03-13 19:21:25.863402+00:00
"Israel attacks Beirut in ‘targeted killing’ attempt, kills several in south",guyanainquirer.com,guyanainquirer.com,https://guyanainquirer.com/israel-attacks-beirut-in-targeted-killing-attempt-kills-several-in-south/,2026-03-13,en,2026-03-13 10:31:09.777427+00:00
"Israel attacks Beirut in ‘targeted killing’ attempt, kills several in south",stluciachronicle.com,stluciachronicle.com,https://stluciachronicle.com/israel-attacks-beirut-in-targeted-killing-attempt-kills-several-in-south/,2026-03-13,en,2026-03-13 10:30:01.322620+00:00
Iran war: What is happening on day 14 of US-Israel attacks?,guyanainquirer.com,guyanainquirer.com,https://guyanainquirer.com/iran-war-what-is-happening-on-day-14-of-us-israel-attacks/,2026-03-13,en,2026-03-13 10:29:19.215973+00:00
"Israel attacks Beirut in ‘targeted killing’ attempt, kills several in south",stvincenttribune.com,stvincenttribune.com,https://stvincenttribune.com/israel-attacks-beirut-in-targeted-killing-attempt-kills-several-in-south/,2026-03-13,en,2026-03-13 10:25:25.263633+00:00
Iran war: What is happening on day 14 of US-Israel attacks?,haitigazette.com,haitigazette.com,https://haitigazette.com/iran-war-what-is-happening-on-day-14-of-us-israel-attacks/,2026-03-13,en,2026-03-13 10:23:35.448937+00:00
"Israel attacks Beirut in ‘targeted killing’ attempt, kills several in south",haitigazette.com,haitigazette.com,https://haitigazette.com/israel-attacks-beirut-in-targeted-killing-attempt-kills-several-in-south/,2026-03-13,en,2026-03-13 10:23:30.288810+00:00
"Israel attacks Beirut in ‘targeted killing’ attempt, kills several in south",dominicagazette.com,dominicagazette.com,https://dominicagazette.com/israel-attacks-beirut-in-targeted-killing-attempt-kills-several-in-south/,2026-03-13,en,2026-03-13 10:18:52.108308+00:00
Iran war: What is happening on day 14 of US-Israel attacks?,dominicagazette.com,dominicagazette.com,https://dominicagazette.com/iran-war-what-is-happening-on-day-14-of-us-israel-attacks/,2026-03-13,en,2026-03-13 10:17:28.434540+00:00
