title,media_name,media_url,url,publish_date,language,indexed_date
War in the Middle East: Latest developments,naharnet.com,naharnet.com,https://www.naharnet.com/stories/en/319094-war-in-the-middle-east-latest-developments,2026-03-21,en,2026-03-23 04:23:06.950769+00:00
"3 killed, inured in Israeli attacks on Lebanon",mehrnews.com,mehrnews.com,https://en.mehrnews.com/news/242808/3-killed-inured-in-Israeli-attacks-on-Lebanon,2026-03-21,en,2026-03-22 04:23:10.679240+00:00
Our woman in Beirut: the untold story of spy Shulamit Cohen,ynetnews.com,ynetnews.com,https://www.ynetnews.com/magazine/article/rjfhzv2qbg,2026-03-21,en,2026-03-22 03:21:09.559411+00:00
"The Latest: Israel intensifying attacks, Iran shows defiance as its nuclear site hit",thestar.com,thestar.com,https://www.thestar.com/news/world/middle-east/the-latest-us-deploys-more-troops-to-mideast-as-trump-considers-winding-down-military-operations/article_303c4d86-e26e-50d8-b474-59b02261695a.html,2026-03-21,en,2026-03-22 02:25:55.579743+00:00
Israeli military says it is striking Hezbollah targets in Beirut,straitstimes.com,straitstimes.com,https://www.straitstimes.com/world/middle-east/israeli-military-says-it-is-striking-hezbollah-targets-in-beirut,2026-03-21,en,2026-03-22 01:25:06.711650+00:00
Israel’s new war goal: Erasing Hezbollah from Lebanon’s political picture,jang.com.pk,jang.com.pk,https://jang.com.pk/en/62139-israels-new-war-goal-erasing-hezbollah-from-lebanons-political-picture-news,2026-03-21,en,2026-03-22 01:22:23.259815+00:00
"Israel targeting Hezbollah in Beirut strikes, south Lebanon also struck",standardmedia.co.ke,standardmedia.co.ke,https://www.standardmedia.co.ke/world/article/2001543531/israel-targeting-hezbollah-in-beirut-strikes-south-lebanon-struck,2026-03-21,en,2026-03-21 23:27:13.823185+00:00
Iran fires missiles at UK-US military base Diego Garcia,channel4.com,channel4.com,https://www.channel4.com/news/iran-fires-missiles-at-uk-us-military-base-diego-garcia,2026-03-21,en,2026-03-21 23:24:31.534916+00:00
"War in the Middle East: Iran nuclear facility hit as equivalent of ‘one classroom of children’ killed, wounded daily in Lebanon",un.org,un.org,https://news.un.org/en/story/2026/03/1167175,2026-03-21,en,2026-03-21 22:31:48.808738+00:00
Meet the woman who fights to go into war zones,theage.com.au,theage.com.au,https://www.theage.com.au/national/meet-the-woman-who-fights-to-go-into-war-zones-20260319-p5qg2g.html?ref=rss&utm_medium=rss&utm_source=rss_national,2026-03-21,en,2026-03-21 22:29:43.460273+00:00
Meet the woman who fights to go into war zones,smh.com.au,smh.com.au,https://www.smh.com.au/national/meet-the-woman-who-fights-to-go-into-war-zones-20260319-p5qg2g.html?ref=rss&utm_medium=rss&utm_source=rss_national,2026-03-21,en,2026-03-21 22:29:35.514125+00:00
Iran missiles hit US bases in Bahrain,news.az,news.az,https://news.az/news/iran-missiles-hit-us-bases-in-bahrain-video,2026-03-21,en,2026-03-21 22:25:26.652014+00:00
"Week 4 of Iran war: Trump claims 'victory' amid strikes, oil surge",dailysabah.com,dailysabah.com,https://www.dailysabah.com/world/americas/week-4-of-iran-war-trump-claims-victory-amid-strikes-oil-surge,2026-03-21,en,2026-03-21 22:23:07.788194+00:00
"Iranian missile hits Arad, southern ‘Israel’; multiple casualties: reports",almanar.com.lb,almanar.com.lb,https://english.almanar.com.lb/article/40807/,2026-03-21,la,2026-03-21 21:22:43.041590+00:00
"Death toll from Israeli attacks rises to 1,204, says Lebanon",aa.com.tr,aa.com.tr,https://www.aa.com.tr/en/middle-east/death-toll-from-israeli-attacks-rises-to-1-204-says-lebanon/3874224,2026-03-21,en,2026-03-21 21:19:17.542926+00:00
NUJ condemns Israeli attacks on media workers in Lebanon,einpresswire.com,einpresswire.com,https://www.einpresswire.com/article/900897407/nuj-condemns-israeli-attacks-on-media-workers-in-lebanon,2026-03-21,en,2026-03-21 20:46:09.973486+00:00
Latest developments in Middle East war,freemalaysiatoday.com,freemalaysiatoday.com,https://www.freemalaysiatoday.com/category/highlight/2026/03/21/latest-developments-in-middle-east-war-3,2026-03-21,en,2026-03-21 20:35:08.585366+00:00
