title,media_name,media_url,url,publish_date,language,indexed_date
"Nóng thế giới ngày 26/3: Mỹ tăng áp lực quân sự, Iran đẩy mạnh tập kích tên lửa",vov.vn,vov.vn,https://vov.vn/the-gioi/nong-the-gioi-ngay-263-my-tang-ap-luc-quan-su-iran-day-manh-tap-kich-ten-lua-post1278604.vov,2026-03-26,vi,2026-03-26 06:44:27.092699+00:00
Israel says will take 'control' of security zone in south Lebanon,dunyanews.tv,dunyanews.tv,https://dunyanews.tv/en/World/942213-israel-says-will-take-control-of-security-zone-in-south-lebanon,2026-03-25,en,2026-03-25 16:54:58.076074+00:00
Israel không kích hàng loạt mục tiêu tại Thủ đô Beirut của Lebanon,vov.vn,vov.vn,https://vov.vn/the-gioi/israel-khong-kich-hang-loat-muc-tieu-tai-thu-do-beirut-cua-lebanon-post1278398.vov,2026-03-25,vi,2026-03-25 13:01:08.882474+00:00
"Iran, Israel trade strikes despite Trump's talk of negotiations",standardmedia.co.ke,standardmedia.co.ke,https://www.standardmedia.co.ke/world/article/2001543754/iran-israel-trade-strikes-despite-trump-s-talk-of-negotiations,2026-03-25,en,2026-03-24 23:30:59.443942+00:00
"Iran, Israel keep trading blows amid mixed Trump talk messages",dailysabah.com,dailysabah.com,https://www.dailysabah.com/world/mid-east/iran-israel-keep-trading-blows-amid-mixed-trump-talk-messages,2026-03-24,en,2026-03-24 22:24:16.389482+00:00
Latest developments in Middle East war,freemalaysiatoday.com,freemalaysiatoday.com,https://www.freemalaysiatoday.com/category/world/2026/03/24/latest-developments-in-middle-east-war-4,2026-03-24,en,2026-03-24 21:46:01.115172+00:00
Trump raises hopes for war to wind down but no sign of reduced fighting,irishexaminer.com,irishexaminer.com,https://www.irishexaminer.com/world/arid-41815679.html,2026-03-24,en,2026-03-24 20:17:20.724191+00:00
Israel announces territorial seizure in Lebanon up to Litani River,jpost.com,jpost.com,https://www.jpost.com/israel-news/defense-news/article-891052,2026-03-24,en,2026-03-24 18:24:51.397387+00:00
Israel says will take ‘control’ of security zone in south Lebanon,freemalaysiatoday.com,freemalaysiatoday.com,https://www.freemalaysiatoday.com/category/world/2026/03/24/israel-says-will-take-control-of-security-zone-in-south-lebanon,2026-03-24,en,2026-03-24 17:46:00.484368+00:00
"US To Order 3,000 82nd Airborne Soldiers To Mideast; Tehran Appoints Larijani Successor, Cuts Gas Flows To Turkey",zerohedge.com,zerohedge.com,https://www.zerohedge.com/geopolitical/iran-sends-more-missiles-israel-after-us-claims-progress-talks-tehran-appoints,2026-03-24,en,2026-03-24 17:24:13.872150+00:00
"Israel's Military to Occupy Swathe of Southern Lebanon, Defence Minister Says",usnews.com,usnews.com,https://www.usnews.com/news/world/articles/2026-03-24/israels-military-to-occupy-swathe-of-southern-lebanon-defence-chief-says,2026-03-24,en,2026-03-24 16:47:27.794027+00:00
Israel kills two in Beirut as it intensifies attacks across Lebanon,grenadachronicle.com,grenadachronicle.com,https://grenadachronicle.com/israel-kills-two-in-beirut-as-it-intensifies-attacks-across-lebanon/,2026-03-24,en,2026-03-24 14:23:20.757666+00:00
