title,media_name,url,publish_date
"War in the Middle East: Iran nuclear facility hit as equivalent of ‘one classroom of children’ killed, wounded daily in Lebanon",un.org,https://news.un.org/en/story/2026/03/1167175,2026-03-21
"Iran vẫn sở hữu kho tên lửa dồi dào, Israel tiếp tục tấn công Lebanon",vov.vn,https://vov.vn/the-gioi/iran-van-so-huu-kho-ten-lua-doi-dao-israel-tiep-tuc-tan-cong-lebanon-post1276837.vov,2026-03-19
"Israel conducts wave of strikes on Beirut, knocks out southern bridges",dunyanews.tv,https://dunyanews.tv/en/World/941345-israel-conducts-wave-of-strikes-on-beirut-knocks-out-southern-bridges,2026-03-19
"Israeli forces strike heart of Beirut, destroy apartment buildings, gas stations, bridges",dawn.com,https://www.dawn.com/news/1983551/israeli-forces-strike-heart-of-beirut-destroy-apartment-buildings-gas-stations-bridges,2026-03-19
"Iran War Enters Day 19: Beirut Bombed, Missiles Hit Near Tel Aviv",novinite.com,https://www.novinite.com/view_news.php?id=237553,2026-03-18
"Israel strikes Beirut, destroys southern bridges",manilatimes.net,https://www.manilatimes.net/2026/03/19/world/israel-strikes-beirut-destroys-southern-bridges/2303247,2026-03-19
"Israel steps up Beirut strikes, hits bridges in south Lebanon",japantoday.com,https://japantoday.com/category/world/israel-steps-up-beirut-strikes-hits-bridges-in-south-lebanon1,2026-03-19
"Israel steps up Beirut strikes, hits bridges in south Lebanon",gmanetwork.com,https://www.gmanetwork.com/news/topstories/world/980563/israel-beirut-strikes-hits-bridges/story/,2026-03-19
Israel kills at least 12 in central Beirut in ramped up airstrikes,dailysabah.com,https://www.dailysabah.com/world/mid-east/israel-kills-at-least-12-in-central-beirut-in-ramped-up-airstrikes,2026-03-18
Israel bombs the heart of the Lebanese capital,bbc.co.uk,https://www.bbc.co.uk/programmes/w172zssmt5p5h8g,2026-03-18
