title,media_name,url,publish_date
Photos from Iran and across the Middle East as the war enters Week 2,npr.org,https://www.npr.org/2026/03/10/g-s1-113081/photos-iran-us-israel-war-middle-east-week-2,2026-03-10
Hezbollah claims to have prevented IDF search for Ron Arad,jpost.com,https://www.jpost.com/israel-news/article-889305,2026-03-09
Lebanon internally divided: To respond to Israeli expansionism or not?,dailysabah.com,https://www.dailysabah.com/opinion/op-ed/lebanon-internally-divided-to-respond-to-israeli-expansionism-or-not,2026-03-10
Lebanese parliament extends term by 2 years as Israel intensifies attacks on Lebanon,pbs.org,https://www.pbs.org/newshour/world/lebanese-parliament-extends-term-by-2-years-as-israel-intensifies-attacks-on-lebanon,2026-03-09
Israel military says it is unaware of clash with Hezbollah on Syria border,straitstimes.com,https://www.straitstimes.com/world/middle-east/israel-military-says-unaware-of-clash-with-hezbollah-on-syria-border,2026-03-09
Hezbollah reports Israeli raid in east Lebanon as war enters second week,straitstimes.com,https://www.straitstimes.com/world/middle-east/hezbollah-reports-israeli-raid-in-east-lebanon-as-war-enters-second-week,2026-03-09
Israel military says it is unaware of clash with Hezbollah on Syria border,reuters.com,https://www.reuters.com/world/middle-east/israel-military-says-unaware-clash-with-hezbollah-syria-border-2026-03-09/,2026-03-09
EU calls urgent fuel supply meetings amid oil price surge; Nato shoots down Iranian missiles in Turkish airspace,independent.ie,https://www.independent.ie/world-news/north-america/eu-calls-urgent-fuel-supply-meetings-amid-oil-price-surge-nato-shoots-down-iranian-missiles-in-turkish-airspace/a1821780552.html,2026-03-09
"Hezbollah fights Israeli soldiers as they try to enter Nabi Sheet, border towns",naharnet.com,https://www.naharnet.com/stories/en/318819-hezbollah-fights-israeli-soldiers-as-they-try-to-enter-nabi-sheet-border-towns,2026-03-09
Hezbollah reports Israeli raid in east Lebanon as war enters second week,reuters.com,https://www.reuters.com/world/middle-east/hezbollah-reports-israeli-raid-east-lebanon-war-enters-second-week-2026-03-09/,2026-03-09
