article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
422420,1,,2026-03-25,,باتوليه,باتوليه (Batouliyeh),Tyre,South Lebanon,1,1,airstrike,residence,preliminary,0,0,
422440,0,"Hezbollah statement describing its own attacks on Israeli troop concentrations at Qawzah/Naqoura - not an Israeli attack on Lebanon",,,,,,,,,,,,,,
422441,1,,2026-03-25,"past midnight",بين زوطر الشرقية وزوطر الغربية,Zawtar al-Sharqiya/al-Gharbiya area,Nabatieh,Nabatieh,2,0,airstrike,residence,preliminary,1,0,
422453,0,"MoPH condolence statement identifying the 2 medics already reported killed in 422280 (batch 7); no new incident data beyond a cumulative medic-death count",,,,,,,,,,,,,,
422484,0,"Funeral procession for the medics already reported in 422280/422453 - commemoration, not a new incident",,,,,,,,,,,,,,
422520,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
422527,1,,2026-03-25,afternoon,البيسارية,البيسارية (Beisariyeh),Nabatieh,Nabatieh,2,,airstrike,residence,preliminary,0,0,"district uncertain, verify; roundup article covers many other same-afternoon strikes/shelling (Bint Jbeil city, Bayyada, Naqoura, Qaaqaait al-Sanawbar, Tibnine, Yatar, Khiam, Majdal Zoun, Deir Siryan x5, Khiam house demolitions, empty homes in Majadel/Joya) w/ no deaths reported for any of those"
422535,1,,2026-03-25,evening,"حاروف - حي البيدر",حاروف (Haroof),Nabatieh,Nabatieh,2,0,airstrike,residence,preliminary,0,0,"named: Sheikh Hussein al-Naji + wife; confirmed in 422584"
422579,1,,2026-03-25,,كونين,كونين (Kounine),Bint Jbeil,Nabatieh,3,4,airstrike,unspecified,preliminary,0,0,"distinct date from the March 24 Kounine strike (422378, batch 7); same-article Toulin strike had injuries only, no death"
422584,1,,2026-03-25,evening,حاروف,حاروف (Haroof),Nabatieh,Nabatieh,2,8,airstrike,residence,preliminary,0,0,"MoPH confirmation of 422535 - do not double count"
422642,1,,2026-03-26,morning,"بنت جبيل - صف الهوا",بنت جبيل (Bint Jbeil - Saf al-Hawa area),Bint Jbeil,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,"second distinct Saf al-Hawa strike this study period - different date from 419162 (batch 4)"
422645,1,,2026-03-26,,"كفررمان - حي المعاقيل",كفررمان (Kfarremen),Bint Jbeil,Nabatieh,2,,airstrike,"residential/commercial building",preliminary,0,0,"update/confirmation in 422813 (2/8 injured)"
422801,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
422813,1,,2026-03-26,,كفررمان,كفررمان (Kfarremen),Bint Jbeil,Nabatieh,2,8,airstrike,"residential/commercial building",preliminary,0,0,"MoPH confirmation of 422645 - do not double count"
422909,1,,2026-03-27,dawn,تحويطة الغدير,تحويطة الغدير (Tahwitat al-Ghadir),Baabda,Mount Lebanon,2,0,airstrike,unspecified,preliminary,0,0,
422925,1,,2026-03-27,,"البزالية - شمال بعلبك",البزالية (Bzaaliyeh),Baalbek,Baalbek-Hermel,1,2,airstrike,residence,preliminary,0,0,"victim identified as a pregnant woman carrying twins in update 422997"
422950,1,,2026-03-27,,السكسكية,السكسكية (Al-Suksukiyeh),Sidon,South Lebanon,4,8,airstrike,"populated residence",preliminary,0,0,"update in 423013 (two combined strikes, final: 6 incl. 3 children)"
422956,1,,2026-03-27,"before noon",زوطر الشرقية,زوطر الشرقية (Zawtar al-Sharqiya),Nabatieh,Nabatieh,2,0,airstrike,residence,preliminary,0,0,"fifth distinct Zawtar al-Sharqiya incident this study period - different date; article also mentions a second strike on open land and a Zawtar al-Gharbiya strike w/ no deaths"
422994,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
422997,1,,2026-03-27,,البزالية,البزالية (Bzaaliyeh),Baalbek,Baalbek-Hermel,1,7,airstrike,residence,preliminary,0,0,"detail/update to 422925 - same victim (pregnant woman w/ twins), not additive"
423013,1,,2026-03-27,,السكسكية,السكسكية (Al-Suksukiyeh),Sidon,South Lebanon,6,17,airstrike,"populated residence",preliminary,0,0,"MoPH update to 422950 chain (two combined strikes: 4->6, incl. 3 children)"
423063,1,,2026-03-27,,الصرفند,الصرفند (Al-Sarafand),Sidon,South Lebanon,1,17,airstrike,unspecified,preliminary,0,0,
